,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence,above_quantile_mean_fg_ratio
mean,1.0,0.4749587251119906,0.3475318959584849,0.47532036163701674,0.002224648498734888,-0.15641100235552735,0.9659296923586032,0.9330140384209417,0.888265501885673,0.8047192815044304,0.5541064734779112,0.5817140367092869,0.6187134133817163,0.6882757718136123,0.7149873908106967,0.787931373349758,0.6641498211320884,0.8990200420496495,0.5316403043073723
above_threshold_mean_0.3,0.4749587251119906,1.0,0.6065718840411131,0.509811541908065,0.25776649513638644,0.19902620932971002,0.49894694923697946,0.5149964512037616,0.53783732716282,0.5896138424618232,0.5701929020382296,0.5479277505900942,0.5311582809630125,0.5173250241714468,0.5107928955922652,0.5456203039753954,0.6166108467422244,0.5587639948997444,0.10210716435881997
above_threshold_mean_0.5,0.3475318959584849,0.6065718840411131,1.0,0.6377756619562905,0.31527933178547096,0.20392727450191656,0.35648099138338823,0.3649474185000963,0.3899265302130829,0.47551810309102516,0.6311844359320241,0.5441068232239669,0.4433675367256413,0.3824525819927674,0.37259868437858346,0.4058002011091225,0.4715672942420351,0.4279814353170817,0.08307153412511631
above_threshold_mean_0.7,0.47532036163701674,0.509811541908065,0.6377756619562905,1.0,0.36912223803192307,0.23133126356171518,0.4752454458565099,0.4735876940981142,0.4831963152692276,0.5457217940472425,0.7394023297586382,0.6027209854165338,0.4695779710152926,0.4249458382737267,0.4265617140317364,0.4326283661009056,0.5387277336158189,0.5336463306882593,0.23253036321673876
above_threshold_mean_0.9,0.002224648498734888,0.25776649513638644,0.31527933178547096,0.36912223803192307,1.0,0.5825404327809721,0.0055582665420782496,0.007613262828716595,0.020947735002090042,0.08534608528591181,0.30533420456020594,0.17514626000466332,0.06187513306153844,0.0029943136191502764,-0.007044879993839479,-0.018142367525366264,0.18526117409649845,0.16989758478748443,0.19196387438056625
above_threshold_mean_0.95,-0.15641100235552735,0.19902620932971002,0.20392727450191656,0.23133126356171518,0.5825404327809721,1.0,-0.15319869322883412,-0.14828089241512582,-0.13532046373700385,-0.08003751483916298,0.15115308431181032,-0.00033643807728029224,-0.09415319747402143,-0.1362288056661859,-0.1433115834632191,-0.16230917889107993,0.12272549756324223,0.1330622815512246,0.07818983987749867
above_quantile_mean_0.3,0.9659296923586032,0.49894694923697946,0.35648099138338823,0.4752454458565099,0.0055582665420782496,-0.15319869322883412,1.0,0.9645699966908011,0.9161849071997901,0.8240026758867798,0.5605617293988099,0.5926128194375504,0.6346893917349903,0.7064512264005615,0.7331489382035615,0.8019099714360198,0.6710201533072021,0.8673542526059942,0.570215094959225
above_quantile_mean_0.5,0.9330140384209417,0.5149964512037616,0.3649474185000963,0.4735876940981142,0.007613262828716595,-0.14828089241512582,0.9645699966908011,1.0,0.9482707652237419,0.8449107158139775,0.566261361107783,0.604481183209809,0.6534329017110843,0.7271913102145845,0.75316763089879,0.8120858194886232,0.678374027922793,0.8387248672041263,0.5563242296535493
above_quantile_mean_0.7,0.888265501885673,0.53783732716282,0.3899265302130829,0.4831963152692276,0.020947735002090042,-0.13532046373700385,0.9161849071997901,0.9482707652237419,1.0,0.885318781415995,0.5854613123256253,0.6297835398729953,0.68310140412737,0.7530692107560379,0.7755698027032734,0.8158044700633899,0.6913285792125249,0.7989515402039152,0.5582836188495429
above_quantile_mean_0.9,0.8047192815044304,0.5896138424618232,0.47551810309102516,0.5457217940472425,0.08534608528591181,-0.08003751483916298,0.8240026758867798,0.8449107158139775,0.885318781415995,1.0,0.6571307889586864,0.6969317520497066,0.7236380221259893,0.7537381824509755,0.7640011567932721,0.7732663670413662,0.7085460420838826,0.7343754457434003,0.51492529144546
patch_aggregation_10,0.5541064734779112,0.5701929020382296,0.6311844359320241,0.7394023297586382,0.30533420456020594,0.15115308431181032,0.5605617293988099,0.566261361107783,0.5854613123256253,0.6571307889586864,1.0,0.8174277824372822,0.6666714806953883,0.6006789920065728,0.5944398324860644,0.5719458750054545,0.6007394348116325,0.5632647173772887,0.3252914454600186
patch_aggregation_20,0.5817140367092869,0.5479277505900942,0.5441068232239669,0.6027209854165338,0.17514626000466332,-0.00033643807728029224,0.5926128194375504,0.604481183209809,0.6297835398729953,0.6969317520497066,0.8174277824372822,1.0,0.8010449295083558,0.7034281946607787,0.6878680057511597,0.6410513886853223,0.5923844205193161,0.538674658667534,0.35709047123857474
patch_aggregation_40,0.6187134133817163,0.5311582809630125,0.4433675367256413,0.4695779710152926,0.06187513306153844,-0.09415319747402143,0.6346893917349903,0.6534329017110843,0.68310140412737,0.7236380221259893,0.6666714806953883,0.8010449295083558,1.0,0.8349993438657151,0.8046058843834336,0.7198104387008182,0.5980341289674729,0.5461030615796291,0.39022494663674673
patch_aggregation_80,0.6882757718136123,0.5173250241714468,0.3824525819927674,0.4249458382737267,0.0029943136191502764,-0.1362288056661859,0.7064512264005615,0.7271913102145845,0.7530692107560379,0.7537381824509755,0.6006789920065728,0.7034281946607787,0.8349993438657151,1.0,0.9390920171279576,0.8152325564482655,0.6198566560544079,0.6028932669211328,0.41615675113567946
patch_aggregation_100,0.7149873908106967,0.5107928955922652,0.37259868437858346,0.4265617140317364,-0.007044879993839479,-0.1433115834632191,0.7331489382035615,0.75316763089879,0.7755698027032734,0.7640011567932721,0.5944398324860644,0.6878680057511597,0.8046058843834336,0.9390920171279576,1.0,0.8505369871657886,0.6273781301884532,0.6276621578830256,0.4312188714356083
patch_aggregation_200,0.787931373349758,0.5456203039753954,0.4058002011091225,0.4326283661009056,-0.018142367525366264,-0.16230917889107993,0.8019099714360198,0.8120858194886232,0.8158044700633899,0.7732663670413662,0.5719458750054545,0.6410513886853223,0.7198104387008182,0.8152325564482655,0.8505369871657886,1.0,0.6290990094911182,0.7213915458226438,0.5871262525050099
class_mean_w_equal_weights,0.6641498211320884,0.6166108467422244,0.4715672942420351,0.5387277336158189,0.18526117409649845,0.12272549756324223,0.6710201533072021,0.678374027922793,0.6913285792125249,0.7085460420838826,0.6007394348116325,0.5923844205193161,0.5980341289674729,0.6198566560544079,0.6273781301884532,0.6290990094911182,1.0,0.6987810522682277,0.29853866783427285
