Aggregator,AURC,AURC_std
Equally-w. class avg.,0.0944437035124227,0.0029168013636815043
Imbalance-w. class avg.,0.0944437035124227,0.0029168013636815043
Mean,0.0985069644553859,0.005446677290713524
Threshold 0.3,0.10426516530771357,0.008698709660890504
Threshold 0.5,0.10344251216460042,0.006661259865839103
Threshold 0.7,0.10181141830917545,0.006961069894346006
Quantile 0.6,0.0985069644553859,0.005446677290713524
Quantile 0.75,0.0985069644553859,0.005446677290713524
Quantile 0.9,0.09848957724146022,0.005455324387609467
Quantile fg. ratio,0.08554936093906253,0.005871402316541923
Patch 10,0.09589478368837784,0.006345428506276178
Patch 20,0.09812653857927305,0.005744220870946624
Patch 50,0.09849930375367932,0.005451760994125064
