Aggregator,AURC,AURC_std
Equally-w. class avg.,0.4145535035623352,0.003360365940445156
Imbalance-w. class avg.,0.42289854135626215,0.003183051878706288
Mean,0.4166312341225521,0.0032166919945317914
Threshold 0.3,0.4202076163462841,0.00791756958985913
Threshold 0.5,0.4138939634204921,0.005442350648583872
Threshold 0.7,0.40972952539767293,0.009631546991116133
Quantile 0.6,0.41561572408671643,0.003283984314065819
Quantile 0.75,0.41482219908562007,0.003465162087524447
Quantile 0.9,0.41446567884349245,0.003600287313858498
Quantile fg. ratio,0.40989794268775753,0.002657723977511367
Patch 10,0.40937754495178647,0.0032114265344689993
Patch 20,0.406649363227735,0.004043326800208204
Patch 50,0.40675012348919204,0.00336123514375994
