Aggregator,AURC,AURC_std
Equally-w. class avg.,0.7287934176578723,0.0066935358309969245
Imbalance-w. class avg.,0.7362801084954953,0.008472139361661744
Mean,0.7363798841097381,0.007729670578289155
Threshold 0.3,0.7105570523380975,0.011866423039503528
Threshold 0.5,0.7295036345315062,0.009420614085217582
Threshold 0.7,0.7335513532498277,0.009205864450570941
Quantile 0.6,0.7301394158199275,0.008712891066367053
Quantile 0.75,0.7276044091463415,0.009220289515172357
Quantile 0.9,0.7266363074990724,0.011356500834381297
Quantile fg. ratio,0.720547637327051,0.011436587095657475
Patch 10,0.7238223686124372,0.012423756198215542
Patch 20,0.7259164665385218,0.005178833413354455
Patch 50,0.7231826979700713,0.010716226845567122
