uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
C02,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06594835723193235,0.6315997446167566,0.7792953928299792,0.8821501227398748,0.9652112697756438,0.9825453013585124,0.08895937752999049,0.11811947618355861,0.1838568574100341,0.4738617666474425,0.66459998910472,0.802861644152442,0.6890762116785498,0.40133307908724164,0.30980217955416284,0.25038411222329116,0.4267959473388826,0.4267959473388826
B07,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06442851485807294,0.6462688466220635,0.7808670238084771,0.8841230371040655,0.9644012716281682,0.9828760530329276,0.08713295137220613,0.11592946282135586,0.18087667968725535,0.4704512508625027,0.6723736974243631,0.9558682699357623,0.8608807673314888,0.7065346281279798,0.37910385370169436,0.27562435072348174,0.4065468458633139,0.4065468458633139
B16,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06364130409356486,0.6528060358535556,0.7897332879384815,0.8883065499819377,0.9660291253931659,0.9828479848208461,0.08501327632547641,0.11145584358167632,0.16995638256470466,0.42053637185006526,0.7015600127684046,0.9258182508491072,0.6919296698651546,0.47737050279984217,0.2803262172659916,0.21884686350654092,0.4079729413868892,0.4079729413868892
B03,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.0657351206155605,0.6403018892526781,0.7766475714025349,0.882344333562167,0.9652903568513296,0.9832321197817249,0.08898594370154915,0.11845528713605623,0.1850947781932133,0.4748508946939309,0.6566164810054612,0.8584686834583813,0.6795502479153458,0.46344362739540496,0.2528066067436423,0.21465094834738133,0.377869009744245,0.377869009744245
B12,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.07077717622763437,0.6530410135979429,0.7859140250050648,0.8841983486035195,0.9648357411099847,0.9825283128037484,0.09452705214944279,0.12409879142540889,0.18991723587234757,0.46444308424573916,0.7192848225976095,0.8988572444013456,0.7011377055863158,0.48834567280797786,0.27073177372158436,0.21517511418567206,0.4324777811228833,0.4324777811228833
B21,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05832162372139109,0.6302695841579613,0.7739705925153847,0.8826744200134145,0.9647644322342824,0.9829255820469779,0.07813513289202763,0.10311073870175719,0.15937725830738325,0.4115925761162164,0.6870012581645368,0.8825215660396866,0.7419886144763899,0.4586954616516428,0.21947682429428356,0.190378581684738,0.4003061271255902,0.4003061271255902
A09,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05952774043214676,0.6401604260549603,0.7879478334236784,0.8863266671056154,0.9659742816254419,0.9827163236129144,0.07996083332898739,0.10569412294893837,0.16339711170958066,0.41158026062531533,0.5915932785185266,0.943999271237734,0.632954469634877,0.3702793297776972,0.1986639171928725,0.16714228696717207,0.3591304256440925,0.3591304256440925
A05,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06099138729975796,0.6456359458693511,0.779872770397732,0.8806135841322668,0.9660214617392459,0.9828624534439391,0.08288280258549975,0.11082865490368266,0.17407882816165432,0.45803010318999543,0.6299011869437064,0.8159629755598837,0.7359059698228042,0.4854116649437414,0.274690142485571,0.22599147335383682,0.38970951080847244,0.38970951080847244
A01,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.0629891937201024,0.6381430042106068,0.7755195667745955,0.8804282264484832,0.9656707363332817,0.9837174057136029,0.08488645487122434,0.11268402386764789,0.17540640547089692,0.45231441184503146,0.6568994080800309,0.8895223558892457,0.7563752459175461,0.5097869556437651,0.2761645105614382,0.2505265317190069,0.3974309538633077,0.3974309538633077
A10,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06649191787245685,0.6312639056948347,0.7793663171497358,0.8853377401379747,0.9651010955405251,0.9833500790059918,0.08988157503103451,0.11933594324464832,0.18487648293014114,0.45258572640738737,0.633741386569087,0.8539053280471347,0.6270743104818295,0.46581822535721473,0.24671464993186593,0.22299574310478584,0.39754290553836724,0.39754290553836724
B24,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06312101341118645,0.6576510214359066,0.78939541223091,0.8896243525989863,0.9659141536137091,0.9834182846773167,0.0842493078873656,0.11061625413117866,0.16949947439230176,0.43135539733048145,0.7259995218399439,0.9567760033961058,0.7804884882286778,0.5352330275699928,0.2843193573321178,0.23491626483871542,0.45625744909605065,0.45625744909605065
A08,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06522788006858826,0.6425145363972706,0.7802005673823709,0.8879449034530491,0.9662912035793392,0.983284877575666,0.08824448061211716,0.11752472989260346,0.18363223670832043,0.47025875032425657,0.6804850358319543,0.8644977352142088,0.6679658065351604,0.5129388637094059,0.2522494654857352,0.1914345821557281,0.391796880913455,0.391796880913455
A17,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05825190026077498,0.6480602622209677,0.7856086059158917,0.8851569210341038,0.964994535112737,0.9828923480009281,0.07807043224379802,0.10313688330716075,0.1595791497047627,0.4090788350321768,0.6758954587049656,0.8897734509894619,0.631584420144986,0.45086237390656886,0.23272901526978873,0.19500434485487403,0.37154248337179563,0.37154248337179563
A04,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06667735433137116,0.6396514347948478,0.7699509054424433,0.8793611004680415,0.9657389933910344,0.9831826308166836,0.09074397436804237,0.12125255295506027,0.19019100577899556,0.48975314247634893,0.6727795163217377,0.9404986219936095,0.7242389372175537,0.5376169092737022,0.288231763717021,0.22804426979199843,0.40362640185363324,0.40362640185363324
A13,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.07769992512250534,0.6646139292053417,0.795470914349785,0.8874612468873624,0.9652881471900685,0.9828170569556228,0.10485028520977593,0.13905965941862075,0.21501974687475578,0.5087271395216181,0.7913245154667577,0.9595481285417391,0.869526681842893,0.6501038693107223,0.3278986798439106,0.2703619485666794,0.5015115646830393,0.5015115646830393
A22,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.07475498296100494,0.6893816705654585,0.804629557159763,0.8886836849160255,0.9649106023682077,0.9829166186386494,0.10159879332604971,0.13588839954357165,0.2137731311642925,0.5591939283865528,0.8260646049609615,0.9592188797954477,0.911588668590261,0.7235139232043495,0.40957914799621004,0.3473204124736591,0.5407117703714737,0.5407117703714737
B09,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06424214965885906,0.6437900189607394,0.7847258062871126,0.8877497712036255,0.9657144015993221,0.9826850375977101,0.08674121770305339,0.11520278717787022,0.17920610550632587,0.4500087400820113,0.6660351303219988,0.9374640263852748,0.7792218517522346,0.5628685214562212,0.322468165354235,0.24589129769048532,0.39694505333155317,0.39694505333155317
B05,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05962070493082998,0.6292323406178538,0.7751775198900773,0.8807303918332615,0.9652627606172746,0.98319638969564,0.0802210215447664,0.1063216975258965,0.1652406307141386,0.42846733693227496,0.6249192765890896,0.8270596333870369,0.6230854116822284,0.34453757365584087,0.18737271403660347,0.17400851361645234,0.3496451778872946,0.3496451778872946
B01,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.064127364283404,0.6225907026469342,0.7691472311989757,0.8853327634024615,0.964971570103927,0.9828069715733222,0.08625228543241809,0.114368278063361,0.1779868366696151,0.45976454736780586,0.6595616058690237,0.9091634105236299,0.6383977165777405,0.5003144467412478,0.27905448951955536,0.2598645450845274,0.3868965101698149,0.3868965101698149
B10,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06709786906196763,0.6452739939826351,0.7757637611361494,0.8827644458315951,0.9655380752833013,0.982727911151085,0.09031267333530081,0.11920443647492875,0.18319501596630874,0.44921915260100226,0.6736911328119846,0.9010566746288688,0.7762925927228356,0.5526027517198958,0.454770838007296,0.3721803074322202,0.4332761564514957,0.4332761564514957
B08,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06622413655270525,0.6346878705909643,0.7805613040853763,0.8844493526105426,0.9660944618405223,0.9832638788284225,0.08927700448869305,0.11845513565997869,0.1837741660042447,0.45521825377335584,0.6411769035264117,0.8878843591558546,0.7490397916552012,0.37767606231132006,0.2500889742934819,0.20970244759441944,0.37503398406488425,0.37503398406488425
B17,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05364664552082584,0.6223138913947395,0.7812638168684469,0.8874748389144684,0.9649338396053351,0.9827334024837323,0.07143885935337317,0.0936532134098009,0.1432331112736201,0.35885735919646744,0.634813783649176,0.8145657509905584,0.5517226483305105,0.3631050365614136,0.21398240930228482,0.18167915133347734,0.38305417535469327,0.38305417535469327
B04,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06388230189558824,0.667047044848935,0.7867455117774812,0.8819438998271215,0.9638055236758197,0.9830176175006163,0.08630243491107506,0.11480612279889965,0.1793059036579951,0.47243196768877516,0.6858041765216177,0.9589212939150938,0.862321079466759,0.7291538113002229,0.42473172223851,0.3757922846496543,0.3915775321974444,0.3915775321974444
B13,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.07719591395833254,0.6644273400279803,0.7947864980699921,0.8900069442341938,0.9654903105287986,0.9829130170025029,0.10343509287915978,0.1364875393590712,0.2100353448231205,0.5056573531645725,0.852396952320612,0.9798173313202647,0.906326877391547,0.5335876202108255,0.27257530903752913,0.22477373724753533,0.5428857779959946,0.5428857779959946
B22,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.0660426377477483,0.6419072450385812,0.7811055679990454,0.8842783370115099,0.9653487941495595,0.9823892340754354,0.08834588461458918,0.11628135402875908,0.1788475006963699,0.4514224357036476,0.6918863030383512,0.8466086467762891,0.7464872498064206,0.4717457788039438,0.2215752034169363,0.1782017841366505,0.4081288899833539,0.4081288899833539
A19,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05128911109418003,0.6375746489737536,0.778346402493471,0.88457959938342,0.9659364646412757,0.9829996164324077,0.06814992702031215,0.0892660619580395,0.13657231861890257,0.34977544854181525,0.6336290566197141,0.8311092258852747,0.6365699839618838,0.4016517909964796,0.22435475149448986,0.2026772641302917,0.3676897505452636,0.3676897505452636
A06,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06106391222890181,0.6432531266481264,0.7810366954971235,0.8868254566354468,0.9660611812166093,0.9834407128918745,0.08215031448428524,0.10881000561979791,0.1688978520389903,0.4377852920631594,0.6267536094325443,0.9442699869786739,0.7739605611170879,0.5891212546534621,0.38148002724817187,0.30724513795903946,0.379635598241672,0.379635598241672
A15,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06895738005342444,0.6413326372371099,0.7831305647462203,0.8848181533812755,0.9656727250309611,0.9829273779886605,0.09253853622678668,0.1222003503553459,0.18852227302838917,0.45749481135303155,0.6851362323300907,0.9131676709748396,0.7036937569963739,0.4402290739862449,0.2336204468992105,0.21142867632907428,0.4151649552559597,0.4151649552559597
A24,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.061721963125774874,0.6351531696310105,0.7769894426343351,0.883706059871057,0.9652999980599047,0.9828346089914953,0.08266673585698046,0.1090036710510636,0.16812105886908468,0.42274667608661787,0.6503427641448027,0.8367060207459897,0.6745207194209837,0.4554027409519555,0.3187389462505346,0.24488318309152346,0.3723790569114737,0.3723790569114737
A02,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06686605536666658,0.6451646754735889,0.7817979315622083,0.8836395562163498,0.9651870755308242,0.9831766702993538,0.08976365419205354,0.11878626611634419,0.18411454616638004,0.46591759645815173,0.6435641085476689,0.8967349148561179,0.6519365839146348,0.4080907812614734,0.27042150191371106,0.22833023739918698,0.35613050634675314,0.35613050634675314
A11,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.07280988608266567,0.6494736946550482,0.7856424698287576,0.8860236029400465,0.9651376561644294,0.9829263217454568,0.09776019983288839,0.12890730017515017,0.19820362311359083,0.4829662781319077,0.6968449161562164,0.9053332592887606,0.753260226922102,0.6367264934948822,0.3026910201578361,0.24258122892917558,0.4331971213284717,0.4331971213284717
A20,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06084757285708365,0.6478500957877366,0.7897178712915003,0.8882414033510642,0.9650830744597975,0.9826276854324775,0.08194185352692482,0.10871476532901263,0.1691955761237195,0.439065742473212,0.6952598121578834,0.9230934377007695,0.6742427981712905,0.4367666619446808,0.236631233049966,0.19391164597133606,0.42771797561926095,0.42771797561926095
A18,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.060976671221622605,0.6366059344307712,0.7781083173974483,0.8844649681255632,0.9654000675673958,0.9830453688030939,0.08208585629919683,0.1087382379118597,0.16876256248414417,0.4322936724360756,0.6689964815929941,0.8807845670633698,0.7381539004880487,0.49981041669006676,0.27204943339061843,0.2157348584894518,0.42379102321951945,0.42379102321951945
A14,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.08596163645824648,0.6487845276713003,0.7894730572401196,0.8871820375424854,0.9660366213834137,0.9829798560165776,0.11665933458518137,0.1553867610686134,0.24223396161304117,0.5806693884089636,0.8316671655567043,0.9689025762107653,0.8714927108677878,0.6631894369899279,0.41456281892937197,0.3563054490112056,0.4935320601449386,0.4935320601449386
A23,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05746959393386921,0.6574149052617029,0.7977189793796418,0.8903319361548964,0.9649796743946469,0.9828235795375053,0.07693203645622686,0.10150135063929998,0.1569305785333728,0.4109797197625691,0.7338572490091252,0.9468697059661667,0.9176112666971149,0.6569889389902397,0.3347802822129469,0.27429289253475764,0.44028190474612555,0.44028190474612555
C01,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06328266713396624,0.6229531401574144,0.7680707286053006,0.8827898912890436,0.965144948572097,0.9830700819904952,0.0850703221915229,0.11264958731185541,0.17468488327665027,0.4496086805922509,0.6382892492347015,0.8272868048406049,0.7746457273278409,0.49416820596261535,0.2749442128554159,0.2269144648006259,0.3828949090766482,0.3828949090766482
B19,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.0604166526978698,0.6319561374143287,0.768225754365634,0.880291556566847,0.9648013255868584,0.982265600946661,0.08086980785553669,0.10661210483850887,0.16450743213279417,0.4194873196286602,0.6969044017298204,0.936934972924734,0.723726849885829,0.3930813258223717,0.21597399412749863,0.18480587904786408,0.40028287191051104,0.40028287191051104
B06,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.061268076414772374,0.6622994247232864,0.787472023668185,0.8834657215248742,0.9655953042315317,0.9829603277628632,0.08234798265497507,0.10879503054059853,0.16787442655001167,0.43282974594821066,0.6500167444083838,0.9103639620752888,0.7908225503668885,0.48172547146179034,0.23563586468570408,0.19862092542987608,0.3944119001232845,0.3944119001232845
B15,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05819857052944161,0.6534518209500112,0.7885270249985289,0.8875157696843758,0.9650312115915246,0.9830090706049976,0.07729550173597578,0.10046100366111349,0.15106724780964081,0.36943181285458687,0.6392079525914743,0.8368453254033185,0.6623988712115938,0.3528324716805442,0.20307405355606079,0.1829943686591382,0.40249602873592066,0.40249602873592066
B02,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.0673906510644168,0.6440841993996055,0.7743450744106566,0.880366751739202,0.9636316285589602,0.9827120340989528,0.09111349667289867,0.1211248368470258,0.18914226799527936,0.49009053543999637,0.712195568263617,0.9187168657673187,0.7436188925679476,0.6522709829568472,0.3819820929256705,0.34016861121165537,0.4504657144626203,0.4504657144626203
B11,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.08275091219620473,0.6152950698928076,0.7755653517983968,0.8829421600260972,0.9643954122536281,0.9827035310770689,0.11237592785318222,0.14936549152708764,0.23167394549388567,0.5415127593719129,0.7131932963178417,0.9156411839336499,0.725392292389941,0.425150287957878,0.21345901514763352,0.18629178076914277,0.4495101084824703,0.4495101084824703
B20,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.06505659731374837,0.6312792466925274,0.7768983997418335,0.8818408725580085,0.9648389004348707,0.9830291339205888,0.0877833642649802,0.11672899179777409,0.1822816165286017,0.46581348651361426,0.7121948243263003,0.9398257347126294,0.786493352640083,0.430049173508817,0.22070656611760178,0.2093713576000542,0.4214969364708838,0.4214969364708838
B18,joint_noise_wormbodies_fgbg_nematodes_dropout_pu_0_00,0.05728391332798994,0.6486426587932951,0.782467875201143,0.8850583987152503,0.9658954211361682,0.9828941459078238,0.07738550593267576,0.10283367251657677,0.1602938714941854,0.415794942370675,0.6973973421428231,0.8712189251290406,0.7462398279331593,0.4977423641774897,0.24271371686135398,0.20300098926416954,0.41113690911639217,0.41113690911639217
