uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
frankfurt_000000_000294,cityscapes_dropout_pu,0.19342031164380763,0.45620905862166633,0.6061453915487923,0.743741143170214,0.0,0.0,0.2724398933089837,0.3258588235053326,0.3952523064369051,0.5641738397567126,0.30202284402907087,0.7682333274358144,0.706652810720034,0.5880067281664925,0.42103228877888166,0.3724354309829988,0.29636671933765363,0.35337592803689355,0.1609872158113982
frankfurt_000000_000576,cityscapes_dropout_pu,0.254308438426071,0.4515460480388194,0.627926354029015,0.7611225759080615,0.0,0.0,0.3350771134551554,0.3799961940304469,0.457232026617663,0.6068106238754852,0.34384638769592873,0.7999842604185464,0.7810865132090007,0.5969638690380747,0.40814878947194155,0.3739063997823246,0.33167012190801454,0.44772799795177154,0.2401867931505568
frankfurt_000000_001016,cityscapes_dropout_pu,0.2098326815334622,0.47260317242507915,0.619789378427994,0.7510725160981297,0.0,0.0,0.2857762189335916,0.31936089543592744,0.38705818019981136,0.5680177717318763,0.295359492564141,0.7992140396635977,0.657086312076749,0.47849111991119103,0.34642695655505085,0.31633712760369337,0.2528736952054018,0.39140984263431855,0.19658402053885332
frankfurt_000000_001236,cityscapes_dropout_pu,0.26090244338163765,0.4345273693995695,0.6171002830519691,0.7548679897975491,0.0,0.0,0.2956417137324625,0.32613052779302637,0.384799284244101,0.5304917790088555,0.3078225259057312,0.8168608447955695,0.7551624272880971,0.5802724391959816,0.40359746835526183,0.3561096598246813,0.28435107049974173,0.45100927164511334,0.27523872408098515
frankfurt_000000_001751,cityscapes_dropout_pu,0.20371896239067386,0.4323413381592038,0.6291364764782125,0.7758248440629629,0.9069992785849229,0.0,0.280592962111635,0.3109478995038866,0.36818313646104583,0.5090394717912128,0.29467828187682077,0.8829639896981473,0.7272878585433178,0.49149603234784833,0.37686405829339414,0.3642647761580256,0.24626135848698427,0.32373419905823286,0.1782012836548134
frankfurt_000000_002196,cityscapes_dropout_pu,0.2122557439524422,0.4895679546520155,0.6531493027413691,0.7976199713826037,0.9138302440945015,0.0,0.29475498885360907,0.3343472408687151,0.41057061641296744,0.6070510191926847,0.31637053872051507,0.9184584825926331,0.8636757719100782,0.643639875221352,0.4353486018828833,0.37885058060251087,0.29434749257462056,0.30833492576959454,0.1956075163908057
frankfurt_000000_002963,cityscapes_dropout_pu,0.24150379885780418,0.4791744021284949,0.6371018849617565,0.7686623994603101,0.0,0.0,0.29514607663564635,0.32874575426835034,0.3994711974780973,0.5872225462836823,0.31239564076009224,0.8404094068305654,0.7779573058574221,0.5114429418670317,0.41042710433286755,0.3627731920165548,0.30256186712712285,0.3804139631857124,0.2526375897882902
frankfurt_000000_003025,cityscapes_dropout_pu,0.24290505991024688,0.43818295476613467,0.5855479986798108,0.7439639067441635,0.0,0.0,0.29187148689517184,0.3237680629958668,0.38770399327024613,0.5280400420874922,0.3048462851527565,0.7119737855256771,0.5883507338501895,0.4842888319335865,0.41589798460560007,0.37007330784001463,0.29315212602950613,0.3461226960976992,0.2513699294580011
frankfurt_000000_003357,cityscapes_dropout_pu,0.2615692152599206,0.49398686484250126,0.638724449945583,0.7639193042133401,0.0,0.0,0.31902690149241747,0.36110694199625504,0.4485917305314276,0.6363587768492036,0.33090875537421743,0.8449262963388563,0.7679965346466032,0.6644316588492778,0.466539993871887,0.4393193735819912,0.32347765945961565,0.3669831616648434,0.27620452257996414
frankfurt_000000_003920,cityscapes_dropout_pu,0.27287876267128336,0.4490332629477606,0.6010660764068504,0.7432655578572609,0.9015946689227429,0.0,0.314430600605,0.3537880203496149,0.42831997647153575,0.57427192461523,0.3371975267406595,0.7794971653972751,0.6795330570753932,0.49274778456270163,0.377211886839119,0.34220160382073966,0.3033517842818184,0.3932206069456713,0.2919794034670784
