uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
ADE_val_00001380,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.16122106182195844,0.4274465155391096,0.5557273269611651,0.0,0.0,0.0,0.22668339433838713,0.3030117274453923,0.40151984611536295,0.5126116101701385,0.6540818463149786,0.634872048530285,0.592822732907491,0.545448879586174,0.5157082642469941,0.2905368975200675,0.16122106182195844
ADE_val_00001347,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.18063308320351906,0.4013159339957662,0.5634396343315096,0.7080266229369231,0.0,0.0,0.2433479081459901,0.28215220680723546,0.325588271443278,0.432632819201635,0.6922550699035418,0.6486895099220952,0.5773192747711079,0.517463296106094,0.4596762765733792,0.38913219167277613,0.18063308320351906
ADE_val_00000346,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.19211977830667054,0.4840229457226126,0.5780960807523298,0.7109232054002845,0.0,0.0,0.2714100037738169,0.3605668468883913,0.48048609881607907,0.5969754407875887,0.7159730315635335,0.6950790506563159,0.6396799047765052,0.5021930706648964,0.48648611171617157,0.3452922624896138,0.19211977830667046
ADE_val_00000060,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.07553528661389368,0.35868143119616663,0.0,0.0,0.0,0.0,0.10298678272421409,0.12955134885499697,0.16545635243966186,0.21504995128256413,0.43059413027363214,0.365520666760361,0.2627981076855084,0.1932105344298599,0.177636873409483,0.1849511856180482,0.0755352866138937
ADE_val_00001188,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.08473936027539251,0.36072783674375364,0.5209321374987593,0.0,0.0,0.0,0.11903052583674187,0.1592959868932528,0.22092822764851858,0.3169921125292645,0.4961274184467036,0.4068709689759247,0.3684023317542482,0.24997243080895593,0.20828968403695966,0.18415300694240944,0.08473936027539254
ADE_val_00001801,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.06662207111078859,0.3617608267258934,0.5443837714004355,0.0,0.0,0.0,0.09207088133353072,0.12163808392929547,0.1805857270112795,0.3182466930617438,0.5710850893241737,0.5014208314658822,0.40428087739473434,0.32530449801963207,0.28442930248173265,0.23987346376052737,0.0666220711107886
ADE_val_00000105,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.058424762794066255,0.3864162013973849,0.5185602310359693,0.0,0.0,0.0,0.08176773498912596,0.10899175808109608,0.1563813010655284,0.23588290333002998,0.5218285118558489,0.48682349900230115,0.3631843166119831,0.2521973245266652,0.20668579881539495,0.2304259546716957,0.05842476279406626
ADE_val_00001755,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.058753261150999415,0.3053762920937048,0.0,0.0,0.0,0.0,0.07813858415589428,0.09797664486885575,0.13086603375232045,0.19751444928486525,0.28215952324340143,0.25401172686807366,0.16213441758176597,0.11245633151848491,0.09587686836727627,0.13027128402482369,0.05875326115099941
ADE_val_00001577,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.08155918991318176,0.4195479082137031,0.5810137510718322,0.0,0.0,0.0,0.1130495971012791,0.1461783410930643,0.19944901060300915,0.3179542497754961,0.6763728443358993,0.653634445268808,0.611257366630507,0.3240114389101436,0.24505329711109844,0.30399095770311746,0.08155918991318176
ADE_val_00001216,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0_00,0.35788994538137603,0.44418104828128985,0.5720249718191027,0.7210218641240556,0.0,0.0,0.44258361947696434,0.4843089678378433,0.5331024707699341,0.6114679539610558,0.7545030849221926,0.7020509113812962,0.619218609312039,0.5354612643495839,0.5192424980792806,0.4467902661264155,0.3578899453813761
