uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
308,arctique_semantic_blood_cells_0_00_dropout_pu,0.11192790740402195,0.3657672513624366,0.5353805276225989,0.0,0.0,0.0,0.15226877972993913,0.18813596609016264,0.23323048594689008,0.307488859115679,0.42717040570972636,0.3032432142276128,0.21447301450847747,0.1738950521050757,0.16698498724526242,0.15051285685986385,0.2290960193172338,0.16522170938038608
235,arctique_semantic_blood_cells_0_00_dropout_pu,0.11477203711261533,0.34952518894271883,0.5268885037870522,0.0,0.0,0.0,0.1509748248939873,0.17821449651435708,0.21587407008105564,0.282313483524362,0.42028217525225686,0.2551774305393256,0.19615625050012375,0.17229924331727356,0.16496040868176087,0.14822645731444548,0.18281189476138326,0.1492395039698088
309,arctique_semantic_blood_cells_0_00_dropout_pu,0.12227918771676088,0.3522523550599544,0.5328244410062244,0.0,0.0,0.0,0.16765255104126206,0.20870106082090442,0.25280463187128577,0.3158130172666097,0.42374457831061413,0.3307198056832388,0.25409649350393193,0.20939576033358864,0.19922498247031292,0.1729350066900751,0.23977634382157675,0.175456385038649
254,arctique_semantic_blood_cells_0_00_dropout_pu,0.12074165694049935,0.3554571810176845,0.5338625991458871,0.0,0.0,0.0,0.16446326991269683,0.20061543350163427,0.24325429082039327,0.30811917926910576,0.42109377857667185,0.32263119536678775,0.2598887904656338,0.19395372470316097,0.18200266603296053,0.16812996598933008,0.20968300733985465,0.1563665640415084
312,arctique_semantic_blood_cells_0_00_dropout_pu,0.1288429841387243,0.3520408949571797,0.5324848034356028,0.0,0.0,0.0,0.17229594108101287,0.20457466744144925,0.24465948335135326,0.3082887916886183,0.40501632003196375,0.3188621724539603,0.24445198285230038,0.1942741948205299,0.18470605931398315,0.1586793838964975,0.19552772868127044,0.1619218700986238
207,arctique_semantic_blood_cells_0_00_dropout_pu,0.10506446854672327,0.361098177449424,0.5270981141889575,0.0,0.0,0.0,0.1444754375871743,0.1821830704322112,0.22840382261257497,0.30276205338908513,0.3945991843757119,0.27536771898868306,0.23141627637578266,0.18487661067127642,0.1720930690130919,0.14957971580958165,0.22745636351712958,0.15955238913560382
258,arctique_semantic_blood_cells_0_00_dropout_pu,0.15610023579965104,0.3525813700871675,0.5320136370362074,0.0,0.0,0.0,0.2071376303374051,0.23898109553365765,0.27511340128688616,0.33208343370685056,0.4330630759405956,0.3551364456933537,0.26552019673158844,0.22422508465461735,0.21268774034850413,0.18637835102820494,0.21625573731408837,0.17510948412061839
260,arctique_semantic_blood_cells_0_00_dropout_pu,0.11475949861611062,0.3495520431199,0.5263322343920794,0.0,0.0,0.0,0.1584189285450372,0.19646712821023904,0.23987913485253987,0.3022371637385872,0.405325931155717,0.26936737669013217,0.21883511154366214,0.1896989708504905,0.18411443982775025,0.16372040148820707,0.20775949945715233,0.15649369200439772
238,arctique_semantic_blood_cells_0_00_dropout_pu,0.12666752153882704,0.36475482080024524,0.5380805951394393,0.0,0.0,0.0,0.17445843114990572,0.2113776245471425,0.2557366358095091,0.3282581163790536,0.4238871031826951,0.3125103143384545,0.22341002918719188,0.19436461510147096,0.19259606650550196,0.1662290156603913,0.21905784319933094,0.1737788667964397
305,arctique_semantic_blood_cells_0_00_dropout_pu,0.15055287394042713,0.35819035575856145,0.5387217782897392,0.0,0.0,0.0,0.19393492742846846,0.22344174921928894,0.2618700969615599,0.3265739283139605,0.46457660853873195,0.33853276876473815,0.21580270797445616,0.18032152133800342,0.17388199149128325,0.16139960280940313,0.2257705663601975,0.16787276702715634
