uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
0085_03,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.0003388956659397504,0.3117996764664679,0.0,0.0,0.0,0.0,0.0004841704381011422,0.0006777913103096771,0.0011294679028470626,0.0033854841819063153,0.026571023886018563,0.01380672697030367,0.0034690863101048013,0.0008675649777387459,0.0002168932262014403,0.00013881166476892182,0.016256693208476565,0.016256693208476565
0305_07,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.001065983455045869,0.40483619628999135,0.0,0.0,0.0,0.0,0.0015229397381730128,0.0021319668343568526,0.0035526960248998,0.010649143890885296,0.046274683879150354,0.026542889381536768,0.010915276613816964,0.0027289088571366272,0.0006822294112293562,0.00043662682318678823,0.01979999202889479,0.01979999202889479
0384_01,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.00030229421255101145,0.35801021825470114,0.0,0.0,0.0,0.0,0.000431878999954597,0.0006045883757141462,0.0010074824722271579,0.0030199426618958587,0.0687691882682826,0.012380253339547008,0.003095219736809765,0.0007738703861548347,0.00019346829603264737,0.00012381970946089439,0.027903969426059463,0.027903969426059463
0389_00,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.00062402924483277,0.40767437642400556,0.0,0.0,0.0,0.0,0.000891532537989898,0.0012480584795959478,0.0020797588443312747,0.006234197078735603,0.051099009148226425,0.025557235417166944,0.0063900431308311564,0.0015975136553813718,0.0003993787166929729,0.00025560237868350264,0.026887753712554804,0.026887753712554804
0410_01,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,8.621019561595145e-05,0.0,0.0,0.0,0.0,0.0,0.00012316601324919215,0.00017242037219337877,0.00028732022664989436,0.000861249765454806,0.020751506847126476,0.003530709079552752,0.0008827106124730454,0.00022069519360893062,5.5174525194208914e-05,3.5311696124293735e-05,0.00689886395276438,0.00689886395276438
0433_01,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.00012322355412645067,0.0,0.0,0.0,0.0,0.0,0.00017604592789875845,0.00024644708057506724,0.0004106779014649625,0.0012310133656484553,0.0193912682035059,0.005044868479055576,0.0012612979784646242,0.00031545028199085444,7.886307464092843e-05,5.047236777019423e-05,0.009173265199992718,0.009173265199992718
0469_02,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.0037400002319095817,0.3611706535390142,0.0,0.0,0.0,0.0,0.0053432301868478835,0.007480000362902912,0.012464630778842405,0.03734821313676701,0.07688172734580245,0.06159841169649531,0.03814929330938584,0.009574390816103095,0.0023936001484221323,0.0015319040949901652,0.03635236566953229,0.03635236566953229
0625_01,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.00013399878931641312,0.42290188826970554,0.0,0.0,0.0,0.0,0.0001914401945844076,0.00026799755900870447,0.00044658953779248703,0.0013386603024895182,0.036569434882035,0.0054880131330705935,0.0013720904279159985,0.00034303222315357966,8.575922516250444e-05,5.4885904104002846e-05,0.028239901281629298,0.028239901281629298
0641_04,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.0007475014646859149,0.39767678163508235,0.0,0.0,0.0,0.0,0.0010679337282172151,0.0014950029152112497,0.0024912656837624398,0.00746770607409184,0.09124185188101708,0.030582321834912798,0.007654389108697256,0.0019136023986262075,0.00047840093739898566,0.0003061765999353509,0.04085409208329665,0.04085409208329665
0689_01,joint_noise_lidc_fgbg_texture_softmax_pu_1_00,0.00013097388412414057,0.0,0.0,0.0,0.0,0.0,0.00018711860007634954,0.0002619476496903529,0.0004365012059356829,0.0013013649912139201,0.008503624367308543,0.003684790042924731,0.0012415459110409737,0.0003352757750921152,8.382328583944996e-05,5.3646902937247996e-05,0.0017923114998182484,0.0017923114998182484
