Aggregator,AURC,AURC_std
Equally-w. class avg.,0.4689778297425169,0.0006980439478408429
Imbalance-w. class avg.,0.47482238100094804,0.004068465922753839
Mean,0.4713445620266579,0.001048512806401003
Threshold 0.3,0.476305992154776,0.0084994575291725
Threshold 0.5,0.48704071601614984,0.011520363248866572
Threshold 0.7,0.4896548776894459,0.004777214910467287
Quantile 0.6,0.4763772789623731,0.0027121225391977255
Quantile 0.75,0.47653037738552406,0.004287552097214736
Quantile 0.9,0.4719607902918035,0.0061606992670659435
Quantile fg. ratio,0.47875556667971575,0.0023835534007963233
Patch 10,0.4782250797933585,0.003204133851357094
Patch 20,0.4790620899518836,0.002446432647468133
Patch 50,0.4812700054102188,0.004123816503848771
