uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
0027_03,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.00018874459661734564,0.0,0.0,0.0,0.0,0.0,0.00026965394751751856,0.00037748913206637336,0.0006290419182569011,0.0018827725478878625,0.01944987735849506,0.0075940009405591705,0.0019241623780073447,0.00048318252000641854,0.00012079654183510124,7.730978677446482e-05,0.015410770046720642,0.015410770046720642
0027_04,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,3.4233652822006436e-05,0.0,0.0,0.0,0.0,0.0,4.8908629883222187e-05,6.846728808094317e-05,0.00011409252029806722,0.0003418074797937345,0.00498920357672457,0.0013973394646817352,0.0003500240901669021,8.763175385223884e-05,2.1909537806084127e-05,1.4022104195893845e-05,0.001797518003378244,0.001797518003378244
0028_00,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.0003444640397229199,0.397203351645729,0.0,0.0,0.0,0.0,0.0004921258132886373,0.0006889280783585131,0.0011480251362589653,0.0034410902448205943,0.04029728433780742,0.014103615962424492,0.003526467362518648,0.0008817768575212022,0.00022045698542266874,0.00014109247067050804,0.008063170105270903,0.008063170105270903
0031_01,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.00016383317475580304,0.4659393819936233,0.0,0.0,0.0,0.0,0.00023406371947027167,0.00032766634594803205,0.0005460210205216946,0.0016364386602581939,0.027847528645522094,0.006678449673640181,0.0016758817900572368,0.00041941227230876053,0.00010485323184371397,6.710606837997695e-05,0.006020540979511223,0.006020540979511223
0038_00,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.000533442333982344,0.483090858251587,0.0,0.0,0.0,0.0,0.0007621136379322963,0.0010668846450282085,0.001777848425797412,0.005328536963599835,0.032558379863753026,0.021799232423142686,0.005458736728794897,0.0013656093137333642,0.00034140309374870026,0.0002184979799991682,0.02334202447269853,0.02334202447269853
0038_03,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.0003378014020953699,0.3968446212451633,0.0,0.0,0.0,0.0,0.00048260709534788255,0.0006756027586662058,0.0011258191245189723,0.0033734433811194054,0.03535519222138476,0.01378818476737044,0.003454561896776292,0.0008647691565012735,0.0002161928973410368,0.00013836345429826358,0.015183632443515735,0.015183632443515735
0056_00,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.0003301787101711766,0.390216506091558,0.0,0.0,0.0,0.0,0.00047171677601806427,0.0006603574197962946,0.0011004165215876408,0.003298385649030736,0.028716870389697155,0.01347655253832842,0.003379818583696726,0.0008452573535580831,0.00021131437450955302,0.00013524119968611397,0.01681994226520834,0.01681994226520834
0056_05,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.0003955067814210142,0.4368363550079559,0.0,0.0,0.0,0.0,0.0005650491024350131,0.0007910135611680678,0.00131814115880546,0.003951134764331344,0.04260678167225674,0.01619051888697317,0.0040491337744361705,0.0010124864504542763,0.00025312434010944915,0.0001619995776700475,0.029574559871322317,0.029574559871322317
0056_10,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.00018575032991201667,0.0,0.0,0.0,0.0,0.0,0.00026528359529761063,0.00037150065853865257,0.000619066770617654,0.001855562249569718,0.018535804235387338,0.007587484141007716,0.001901692032212499,0.0004755203857491673,0.00011888021114369067,7.608333513196205e-05,0.012660525278391396,0.012660525278391396
0057_04,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.00022420727397643966,0.417608982634061,0.0,0.0,0.0,0.0,0.0003198721679571093,0.0004484145476044524,0.000747235717254813,0.002239687341173952,0.02352616365903056,0.009174770073996742,0.0022950528659074223,0.0005739666523924132,0.00014349265534492142,9.183529942074974e-05,0.021780843880393485,0.021780843880393485
0057_06,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.00024769031596954237,0.0,0.0,0.0,0.0,0.0,0.00035386799238204314,0.0004953805869442167,0.0008254949464771241,0.0024736417774078767,0.025907294352139176,0.010105102150204605,0.0025325749851505576,0.0006340744349519732,0.00015852180222050715,0.00010145395342112462,0.003096344493610358,0.003096344493610358
0079_00,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.00018667137269890905,0.0,0.0,0.0,0.0,0.0,0.00026669199251071673,0.0003733427431701417,0.0006221362042486441,0.0018647791976348525,0.04229385730521986,0.007638286455439729,0.0019110101215318385,0.00047787578975851716,0.00011946967852730183,7.646059425747317e-05,0.018580828298267515,0.018580828298267515
0079_01,joint_noise_lidc_fgbg_malignancy_softmax_pu_0_00,0_00,0.0001672621170643063,0.3952399087488573,0.0,0.0,0.0,0.0,0.00023896255022357453,0.00033452423226956724,0.0005574478257299978,0.0016705317329743087,0.01751535284564674,0.006833061648704144,0.0017115855180451472,0.00042818410397144047,0.00010704775492115607,6.85105631495399e-05,0.0046087658336372034,0.0046087658336372034
