,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.5523478045833695,0.5481024562296661,0.5756658580545839,0.3583842535360318,0.22038652768550646,0.9725110741049018,0.9351952946106503,0.8856976991478195,0.79735271467757,0.1499458874458874,0.6562109899028329,0.6640507611035689,0.6726870065611465,0.6935274283121289,0.7095769301178022,0.6317333278338173,0.8320011126251421
above_threshold_mean_0.3,0.5523478045833695,1.0,0.8012454818220157,0.6479748661100715,0.4551100032351103,0.30868179359180903,0.5625293782968609,0.564617746279653,0.5838382092187413,0.6888413558433981,0.03154761904761905,0.7916276615297939,0.759040517340779,0.6726772622044112,0.5820950657726534,0.568999963668452,0.5803528247167674,0.5511362957804966
above_threshold_mean_0.5,0.5481024562296661,0.8012454818220157,1.0,0.7640174195371374,0.5057048304475218,0.33572741775601256,0.5556750699796236,0.5488466785207206,0.5563803868118844,0.6473328224999461,-0.014461677906701952,0.7795257351387537,0.7161717269118144,0.6166110740152597,0.533426967253771,0.5251529962803768,0.5317027761746664,0.5346584860991048
above_threshold_mean_0.7,0.5756658580545839,0.6479748661100715,0.7640174195371374,1.0,0.6146864588450369,0.41098494444317885,0.5841857415912429,0.573839573025581,0.5717497048326525,0.6345937928597776,,0.7170555571096151,0.6529205490089804,0.5623618961132839,0.49815363246023137,0.49693707556830463,0.5006148060336459,0.550038143454558
above_threshold_mean_0.9,0.3583842535360318,0.4551100032351103,0.5057048304475218,0.6146864588450369,1.0,0.6575399194508129,0.37018794454073223,0.36531980314706536,0.37455106928895,0.4328596685745588,,0.486220781347694,0.45139032375834126,0.3888273947677909,0.32730937530498894,0.3203372358847745,0.2913717378268902,0.38464870567052917
above_threshold_mean_0.95,0.22038652768550646,0.30868179359180903,0.33572741775601256,0.41098494444317885,0.6575399194508129,1.0,0.22942270141528837,0.22955071576198188,0.23993858221845732,0.28092559829731223,,0.32375278289945425,0.29475127344165186,0.25240643040582195,0.21492754040047576,0.2093275915204116,0.20123707403034308,0.2717250883177295
above_quantile_mean_0.3,0.9725110741049018,0.5625293782968609,0.5556750699796236,0.5841857415912429,0.37018794454073223,0.22942270141528837,1.0,0.9570581471347452,0.905063605946383,0.8119445167004691,0.11095779220779219,0.6639365890967488,0.6737275189899636,0.6846993530031882,0.706065794335885,0.7222080576880976,0.6326209634339368,0.8210042481623011
above_quantile_mean_0.5,0.9351952946106503,0.564617746279653,0.5488466785207206,0.573839573025581,0.36531980314706536,0.22955071576198188,0.9570581471347452,1.0,0.9400883635025501,0.8283292008877297,0.14991883116883117,0.6632990673977457,0.6800055759615982,0.7007575747365297,0.7298118089427906,0.7461865922897055,0.6437312810896129,0.8118010360626353
above_quantile_mean_0.7,0.8856976991478195,0.5838382092187413,0.5563803868118844,0.5717497048326525,0.37455106928895,0.23993858221845732,0.905063605946383,0.9400883635025501,1.0,0.867697766023418,0.1499458874458874,0.6788392449886141,0.7039797120913498,0.7333537939290691,0.7599780179095248,0.7720552888768059,0.6608273542853206,0.7936316159083148
above_quantile_mean_0.9,0.79735271467757,0.6888413558433981,0.6473328224999461,0.6345937928597776,0.4328596685745588,0.28092559829731223,0.8119445167004691,0.8283292008877297,0.867697766023418,1.0,0.1503246753246753,0.7719688597605652,0.7967688303746656,0.7934436797820924,0.7627203880958268,0.7612113100542498,0.6806777266557628,0.7186105252780998
