Aggregator,AURC,AURC_std
Equally-w. class avg.,0.3036233075555418,0.0013980936127661325
Imbalance-w. class avg.,0.31540901723089093,0.000984439344788035
Mean,0.3196573065083344,0.0020544866511003623
Threshold 0.3,0.3224958174351825,0.0035197103894686055
Threshold 0.5,0.31610073738598443,0.0013980201848087237
Threshold 0.7,0.31778145960292786,0.002658645016225425
Quantile 0.6,0.3198755753637248,0.0016982352560857283
Quantile 0.75,0.32257361468932183,0.0005419308362833442
Quantile 0.9,0.3200090978329022,0.0008715576048602125
Quantile fg. ratio,0.3127590319356204,0.0009931912944659838
Patch 10,0.31613437078551715,0.0007627298526446946
Patch 20,0.3170746408505876,0.0002577369734644841
Patch 50,0.32001356858963026,0.0013758346889886364
