,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_0.95,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200
mean,1.0,-0.3080990076798108,-0.07273510198083487,0.3267169165156515,,,0.9932782680138015,0.9758384183435623,0.9503263749374187,0.8776672515052462,0.8181579684161501,0.41678241776570923,0.6601970109209729,0.7479869088757719,0.8321138150555152,0.8516937196192433,0.8821413582089714
above_threshold_mean_0.3,-0.3080990076798108,1.0,0.3687880342321915,0.1266527010143644,,,-0.29161052958654743,-0.27254136491685765,-0.2152848096347953,0.024047440262907588,0.17191535639241817,0.00868052994942305,0.004049679721764388,-0.1899329432617508,-0.29269393310796094,-0.27315989361086085,-0.2718714538937642
above_threshold_mean_0.5,-0.07273510198083487,0.3687880342321915,1.0,0.4166303601139884,,,-0.05639377598574124,-0.030913683575070183,-0.00011936199441076141,0.09708919462607653,0.14933366472423001,0.6913133806608618,0.42422648397598506,-0.0020147692610699135,-0.00517665697134191,0.00543322968981796,0.009139529428630243
above_threshold_mean_0.7,0.3267169165156515,0.1266527010143644,0.4166303601139884,1.0,,,0.34216198068707854,0.3554887279953892,0.3733232376607407,0.4353224611842359,0.4550552462561291,0.5924932481299936,0.4832153568700719,0.27410713971488426,0.2999450017180007,0.3107502662764933,0.32205644826417196
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9932782680138015,-0.29161052958654743,-0.05639377598574124,0.34216198068707854,,,1.0,0.9931785776445486,0.9755122288464049,0.9064211233793888,0.8483283056701645,0.42238586696217456,0.6965557157081945,0.7891876664294112,0.869102631444828,0.8858038455938176,0.9170263904030033
above_quantile_mean_0.5,0.9758384183435623,-0.27254136491685765,-0.030913683575070183,0.3554887279953892,,,0.9931785776445486,1.0,0.9931680093991728,0.9313917939637569,0.8746553675390941,0.4359714417459927,0.7344940492197755,0.8321996026887912,0.9012404638108563,0.9145751378464402,0.9436022545218101
above_quantile_mean_0.7,0.9503263749374187,-0.2152848096347953,-0.00011936199441076141,0.3733232376607407,,,0.9755122288464049,0.9931680093991728,1.0,0.9603051341420216,0.911191448956452,0.4434997726117674,0.7630362888958225,0.8536519662788401,0.9112076164803455,0.9217537574194892,0.9445265153793532
above_quantile_mean_0.9,0.8776672515052462,0.024047440262907588,0.09708919462607653,0.4353224611842359,,,0.9064211233793888,0.9313917939637569,0.9603051341420216,1.0,0.9880349790737354,0.4522623603697341,0.7618948717315838,0.8088926879951636,0.8545749348238403,0.8696534436362248,0.8854081979997628
above_quantile_mean_0.95,0.8181579684161501,0.17191535639241817,0.14933366472423001,0.4550552462561291,,,0.8483283056701645,0.8746553675390941,0.911191448956452,0.9880349790737354,1.0,0.44332695244161224,0.7416926082810014,0.7600343637515429,0.7941781185460407,0.8134107567401272,0.8288197746783594
patch_aggregation_10,0.41678241776570923,0.00868052994942305,0.6913133806608618,0.5924932481299936,,,0.42238586696217456,0.4359714417459927,0.4434997726117674,0.4522623603697341,0.44332695244161224,1.0,0.6752063761962582,0.3216762746429165,0.36601235393280385,0.3772211379658283,0.4137971968249166
patch_aggregation_20,0.6601970109209729,0.004049679721764388,0.42422648397598506,0.4832153568700719,,,0.6965557157081945,0.7344940492197755,0.7630362888958225,0.7618948717315838,0.7416926082810014,0.6752063761962582,1.0,0.7670468848600827,0.6984248539148171,0.6898175714670887,0.7209689689838301
patch_aggregation_40,0.7479869088757719,-0.1899329432617508,-0.0020147692610699135,0.27410713971488426,,,0.7891876664294112,0.8321996026887912,0.8536519662788401,0.8088926879951636,0.7600343637515429,0.3216762746429165,0.7670468848600827,1.0,0.8939354616176206,0.8587190277219616,0.8466838001624128
patch_aggregation_80,0.8321138150555152,-0.29269393310796094,-0.00517665697134191,0.2999450017180007,,,0.869102631444828,0.9012404638108563,0.9112076164803455,0.8545749348238403,0.7941781185460407,0.36601235393280385,0.6984248539148171,0.8939354616176206,1.0,0.9872754378071559,0.9451947816048785
patch_aggregation_100,0.8516937196192433,-0.27315989361086085,0.00543322968981796,0.3107502662764933,,,0.8858038455938176,0.9145751378464402,0.9217537574194892,0.8696534436362248,0.8134107567401272,0.3772211379658283,0.6898175714670887,0.8587190277219616,0.9872754378071559,1.0,0.9609389506302201
patch_aggregation_200,0.8821413582089714,-0.2718714538937642,0.009139529428630243,0.32205644826417196,,,0.9170263904030033,0.9436022545218101,0.9445265153793532,0.8854081979997628,0.8288197746783594,0.4137971968249166,0.7209689689838301,0.8466838001624128,0.9451947816048785,0.9609389506302201,1.0
