Aggregator,AURC,AURC_std
Equally-w. class avg.,0.024633082652771674,0.0019283565810391257
Imbalance-w. class avg.,0.025054319605038868,0.0013589474367844863
Mean,0.02529891997252673,0.0008571384439666156
Threshold 0.3,0.025592520869729407,0.0021823581598160707
Threshold 0.5,0.027642325306253428,0.002526597676593809
Threshold 0.7,0.030699882897785698,0.007163827187606463
Quantile 0.6,0.025169731588198158,0.0007279500596380443
Quantile 0.75,0.025215480581400645,0.0007618288982124896
Quantile 0.9,0.025190342096978156,0.0016142229738332348
Quantile fg. ratio,0.02529891997252673,0.0008571384439666156
Patch 10,0.026530295353827067,0.002538933275141984
Patch 20,0.02614179943646898,0.001471182163649708
Patch 50,0.026021336731336383,0.0008442790858230083
