,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_0.95,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200
mean,1.0,0.2337458291732983,0.4819216894801289,0.4542472934251872,,,0.995905844696314,0.9834435661558131,0.9556855822019835,0.8787035503761179,0.8140642381475814,0.443796979600759,0.5686007497015655,0.68078550506053,0.7925939758883042,0.8249538106001686,0.8731923603536642
above_threshold_mean_0.3,0.2337458291732983,1.0,0.4641442319201958,0.14581376195252488,,,0.2394996494373234,0.2507986588727907,0.27915091937316094,0.39260722608711984,0.48226721303865483,0.5839434611125767,0.46863425373881207,0.316823722793766,0.25501558344317277,0.23718172985715252,0.19889795185647133
above_threshold_mean_0.5,0.4819216894801289,0.4641442319201958,1.0,0.1998598241406271,,,0.5023931558804997,0.525451282773097,0.5612983770639677,0.6334757262155,0.6676246785216261,0.680988332211893,0.5266810894169738,0.4698873556645848,0.49987868638668614,0.4944155123313687,0.4678156871915327
above_threshold_mean_0.7,0.4542472934251872,0.14581376195252488,0.1998598241406271,1.0,,,0.45062280922466624,0.4403388265810326,0.4227337903445429,0.4004336211647652,0.38683936509813416,0.3304648160554269,0.289206823374385,0.3262255158427257,0.34257609535623157,0.3296813026538719,0.33181065602471044
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.995905844696314,0.2394996494373234,0.5023931558804997,0.45062280922466624,,,1.0,0.9954532080029037,0.9759258670612642,0.9053378992229701,0.8402843523016242,0.46163246389480483,0.5899179752297372,0.7016744528997162,0.8153582061915747,0.8464294791916991,0.8875860811393802
above_quantile_mean_0.5,0.9834435661558131,0.2507986588727907,0.525451282773097,0.4403388265810326,,,0.9954532080029037,1.0,0.9915897262948294,0.9324440309068097,0.8687049020203153,0.48209360337822704,0.6134348287627589,0.7217263091166154,0.8352658848452393,0.86416894224856,0.8970782151446685
above_quantile_mean_0.7,0.9556855822019835,0.27915091937316094,0.5612983770639677,0.4227337903445429,,,0.9759258670612642,0.9915897262948294,1.0,0.965363230412879,0.9085293209649452,0.5144278279045551,0.6451684719352916,0.7427120688206926,0.8508048756410941,0.8749367439132639,0.8938471883881106
above_quantile_mean_0.9,0.8787035503761179,0.39260722608711984,0.6334757262155,0.4004336211647652,,,0.9053378992229701,0.9324440309068097,0.965363230412879,1.0,0.9822615488393208,0.5980365627960116,0.7124883524732878,0.762933429809149,0.8367459253159296,0.8463317063470245,0.8348998661388591
above_quantile_mean_0.95,0.8140642381475814,0.48226721303865483,0.6676246785216261,0.38683936509813416,,,0.8402843523016242,0.8687049020203153,0.9085293209649452,0.9822615488393208,1.0,0.6514132686103667,0.7480850324531156,0.7563629649853522,0.7989864793917014,0.799077892411855,0.7713027981895454
patch_aggregation_10,0.443796979600759,0.5839434611125767,0.680988332211893,0.3304648160554269,,,0.46163246389480483,0.48209360337822704,0.5144278279045551,0.5980365627960116,0.6514132686103667,1.0,0.8493358977300166,0.7297246226434352,0.6609557893462656,0.6274200476243184,0.5796281084235176
patch_aggregation_20,0.5686007497015655,0.46863425373881207,0.5266810894169738,0.289206823374385,,,0.5899179752297372,0.6134348287627589,0.6451684719352916,0.7124883524732878,0.7480850324531156,0.8493358977300166,1.0,0.9048596939654935,0.8174311444947895,0.7837486643004047,0.718855480727217
patch_aggregation_40,0.68078550506053,0.316823722793766,0.4698873556645848,0.3262255158427257,,,0.7016744528997162,0.7217263091166154,0.7427120688206926,0.762933429809149,0.7563629649853522,0.7297246226434352,0.9048596939654935,1.0,0.9329838868997478,0.9017887967844123,0.8468422012812945
patch_aggregation_80,0.7925939758883042,0.25501558344317277,0.49987868638668614,0.34257609535623157,,,0.8153582061915747,0.8352658848452393,0.8508048756410941,0.8367459253159296,0.7989864793917014,0.6609557893462656,0.8174311444947895,0.9329838868997478,1.0,0.9899286462618947,0.9449542554300748
patch_aggregation_100,0.8249538106001686,0.23718172985715252,0.4944155123313687,0.3296813026538719,,,0.8464294791916991,0.86416894224856,0.8749367439132639,0.8463317063470245,0.799077892411855,0.6274200476243184,0.7837486643004047,0.9017887967844123,0.9899286462618947,1.0,0.9657672748546988
patch_aggregation_200,0.8731923603536642,0.19889795185647133,0.4678156871915327,0.33181065602471044,,,0.8875860811393802,0.8970782151446685,0.8938471883881106,0.8348998661388591,0.7713027981895454,0.5796281084235176,0.718855480727217,0.8468422012812945,0.9449542554300748,0.9657672748546988,1.0
