uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
ADE_val_00001380,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.03158606608678599,0.0,0.0,0.0,0.0,0.0,0.04491648362886535,0.06152475990815111,0.08667730701353113,0.119606407330774,0.16275678188178663,0.1553312996200141,0.13588654376736944,0.11794760826619573,0.1077027647535006,0.05742182017826658,0.031586066086785984
ADE_val_00001347,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.04347271611626828,0.0,0.0,0.0,0.0,0.0,0.06054689635682415,0.07626646159482843,0.09396394266021943,0.11710331158078352,0.17137889452599492,0.15897894227820092,0.13495158198873708,0.11983987694513845,0.10447523464741099,0.09510053174860529,0.04347271611626828
ADE_val_00000346,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.041648590888355166,0.0,0.0,0.0,0.0,0.0,0.059283133489399314,0.08065740300073156,0.11114481251482891,0.14326763894104153,0.1660211026748969,0.16319612477125145,0.1423321403287278,0.11649014694951196,0.10752628186685233,0.10141511985082227,0.04164859088835518
ADE_val_00000060,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.015086725237109059,0.0,0.0,0.0,0.0,0.0,0.021321454815788492,0.028960906136312865,0.04400836661351223,0.07919388558401246,0.11847953203794401,0.10048369570071168,0.0832952304838173,0.06561068251338559,0.05745674492382334,0.05400357008739784,0.015086725237109057
ADE_val_00001188,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.017615604422162187,0.0,0.0,0.0,0.0,0.0,0.02510440208131343,0.03486468529490061,0.05479408334903411,0.09387643346426355,0.1359034042414201,0.11830317580997629,0.09548186353643126,0.05735873233338992,0.045952817858818606,0.05380712417576559,0.017615604422162194
ADE_val_00001801,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.014104129463831366,0.0,0.0,0.0,0.0,0.0,0.020039797337149133,0.027556636036676588,0.04386042884708285,0.09432433338540575,0.15338092417288995,0.14296684508079852,0.11648891504775011,0.09585048088890132,0.07792395393368813,0.07348583406478953,0.014104129463831373
ADE_val_00000105,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.013449525024465949,0.0,0.0,0.0,0.0,0.0,0.019130845587143622,0.026430871147199483,0.0417740174472815,0.08096533810482534,0.1550283248294604,0.141633015035698,0.09431767730735674,0.06303793548760443,0.052479476786736076,0.06975662780624953,0.013449525024465944
ADE_val_00001755,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.011178648940352393,0.0,0.0,0.0,0.0,0.0,0.015630785392304728,0.02088727907008385,0.031382673612566594,0.0634787558581932,0.1056554691608917,0.08276142019585285,0.04257374894544754,0.026966445510332508,0.021909767681729538,0.021256703089448294,0.01117864894035239
ADE_val_00001577,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.01600380181884839,0.0,0.0,0.0,0.0,0.0,0.022629019319175186,0.03064215299514099,0.04628249207693638,0.08684523030677745,0.17408624817980725,0.17057135511971913,0.14964107078341773,0.06898600104381974,0.051476680389398226,0.06472955108670475,0.016003801818848386
ADE_val_00001216,ade20k_deeplabv3_semantic_cityscapes_0_00_softmax_pu,0.08873206413588644,0.0,0.0,0.0,0.0,0.0,0.11348065096878161,0.1249236885177575,0.13556837060515992,0.14936150031959683,0.1738140517460265,0.16575887861226007,0.1518470494255159,0.13604003869455533,0.1317015048671366,0.11252461687823032,0.08873206413588647
