,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.07591836734693877,-0.04,0.15565792842320492,,,0.9281632653061225,0.846530612244898,0.7910204081632654,0.6946938775510204,0.2310204081632653,0.4595918367346939,0.4906122448979592,0.5363265306122449,0.5428571428571428,0.6146938775510205,0.30775510204081635,0.4906122448979592
above_threshold_mean_0.3,-0.07591836734693877,1.0,0.18693877551020407,0.10776318121606493,,,-0.08897959183673469,-0.09224489795918367,-0.09224489795918367,0.06285714285714286,0.07265306122448979,0.04653061224489796,-0.05306122448979592,-0.12816326530612246,-0.11510204081632652,-0.10530612244897959,0.13306122448979593,0.07755102040816327
above_threshold_mean_0.5,-0.04,0.18693877551020407,1.0,0.38144745097115046,,,-0.017142857142857144,-0.007346938775510204,0.005714285714285714,0.08244897959183674,0.4644897959183673,0.2522448979591837,-0.06612244897959184,0.008979591836734694,0.05142857142857143,0.02530612244897959,-0.007346938775510204,0.17877551020408164
above_threshold_mean_0.7,0.15565792842320492,0.10776318121606493,0.38144745097115046,1.0,,,0.15907898179514346,0.1761842486548363,0.19328951551452916,0.2480263694655463,0.38144745097115046,0.2993421700446248,0.15223687505126632,0.1453947683073892,0.20355267563034488,0.18302635539871345,0.05302632726504782,0.2753947964410548
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,
above_quantile_mean_0.3,0.9281632653061225,-0.08897959183673469,-0.017142857142857144,0.15907898179514346,,,1.0,0.9183673469387756,0.8628571428571429,0.7404081632653061,0.2440816326530612,0.5053061224489797,0.5428571428571428,0.5885714285714286,0.5983673469387755,0.676734693877551,0.35346938775510206,0.5363265306122449
above_quantile_mean_0.5,0.846530612244898,-0.09224489795918367,-0.007346938775510204,0.1761842486548363,,,0.9183673469387756,1.0,0.9412244897959183,0.7795918367346939,0.276734693877551,0.5314285714285715,0.5918367346938775,0.6408163265306122,0.6538775510204081,0.7191836734693877,0.39918367346938777,0.5689795918367347
above_quantile_mean_0.7,0.7910204081632654,-0.09224489795918367,0.005714285714285714,0.19328951551452916,,,0.8628571428571429,0.9412244897959183,1.0,0.7991836734693878,0.29306122448979594,0.5379591836734694,0.6244897959183674,0.6734693877551021,0.683265306122449,0.7453061224489795,0.43510204081632653,0.5918367346938775
above_quantile_mean_0.9,0.6946938775510204,0.06285714285714286,0.08244897959183674,0.2480263694655463,,,0.7404081632653061,0.7795918367346939,0.7991836734693878,1.0,0.34040816326530615,0.52,0.5640816326530612,0.603265306122449,0.6326530612244898,0.6587755102040816,0.4530612244897959,0.7208163265306122
patch_aggregation_10,0.2310204081632653,0.07265306122448979,0.4644897959183673,0.38144745097115046,,,0.2440816326530612,0.276734693877551,0.29306122448979594,0.34040816326530615,1.0,0.4416326530612245,0.1657142857142857,0.2310204081632653,0.2571428571428571,0.2636734693877551,0.2506122448979592,0.3681632653061225
patch_aggregation_20,0.4595918367346939,0.04653061224489796,0.2522448979591837,0.2993421700446248,,,0.5053061224489797,0.5314285714285715,0.5379591836734694,0.52,0.4416326530612245,1.0,0.4661224489795918,0.4759183673469388,0.4955102040816326,0.5118367346938776,0.37142857142857144,0.4791836734693878
patch_aggregation_40,0.4906122448979592,-0.05306122448979592,-0.06612244897959184,0.15223687505126632,,,0.5428571428571428,0.5918367346938775,0.6244897959183674,0.5640816326530612,0.1657142857142857,0.4661224489795918,1.0,0.683265306122449,0.6440816326530613,0.6179591836734695,0.45142857142857146,0.43836734693877555
patch_aggregation_80,0.5363265306122449,-0.12816326530612246,0.008979591836734694,0.1453947683073892,,,0.5885714285714286,0.6408163265306122,0.6734693877551021,0.603265306122449,0.2310204081632653,0.4759183673469388,0.683265306122449,1.0,0.8987755102040816,0.7812244897959183,0.43183673469387757,0.5395918367346939
patch_aggregation_100,0.5428571428571428,-0.11510204081632652,0.05142857142857143,0.20355267563034488,,,0.5983673469387755,0.6538775510204081,0.683265306122449,0.6326530612244898,0.2571428571428571,0.4955102040816326,0.6440816326530613,0.8987755102040816,1.0,0.8073469387755102,0.4187755102040816,0.5722448979591837
patch_aggregation_200,0.6146938775510205,-0.10530612244897959,0.02530612244897959,0.18302635539871345,,,0.676734693877551,0.7191836734693877,0.7453061224489795,0.6587755102040816,0.2636734693877551,0.5118367346938776,0.6179591836734695,0.7812244897959183,0.8073469387755102,1.0,0.4220408163265306,0.5983673469387755
class_mean_w_equal_weights,0.30775510204081635,0.13306122448979593,-0.007346938775510204,0.05302632726504782,,,0.35346938775510206,0.39918367346938777,0.43510204081632653,0.4530612244897959,0.2506122448979592,0.37142857142857144,0.45142857142857146,0.43183673469387757,0.4187755102040816,0.4220408163265306,1.0,0.4579591836734694
class_mean_weighted_by_occurrence,0.4906122448979592,0.07755102040816327,0.17877551020408164,0.2753947964410548,,,0.5363265306122449,0.5689795918367347,0.5918367346938775,0.7208163265306122,0.3681632653061225,0.4791836734693878,0.43836734693877555,0.5395918367346939,0.5722448979591837,0.5983673469387755,0.4579591836734694,1.0
