,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.13437965038370903,,,,,0.9999999589325677,0.9999999999999999,0.9999999999995556,0.9999999919063257,0.3334672851152792,0.7796972909253208,0.9810452789751807,0.9999999999895294,1.0000000000000002,0.9999999999999991,0.301728305602794,0.301728305602794
above_threshold_mean_0.3,0.13437965038370903,1.0,,,,,0.13438588387896375,0.1343796488582588,0.13437957834481867,0.13437859629310533,0.023119437608083056,0.13863084308500126,0.13350526749993905,0.13437873772839753,0.13437965038370916,0.1343796503837091,0.03137029273863126,0.03137029273863126
above_threshold_mean_0.5,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9999999589325677,0.13438588387896375,,,,,1.0,0.9999999589316068,0.9999999588936117,0.9999999490683688,0.33348795647289264,0.7797104926040218,0.9810404302832371,0.9999999587433189,0.9999999589325681,0.9999999589325679,0.30175853044895085,0.30175853044895085
above_quantile_mean_0.5,0.9999999999999999,0.1343796488582588,,,,,0.9999999589316068,1.0,0.9999999999995746,0.9999999919082234,0.3334672867692186,0.7796972909311876,0.9810452791902087,0.9999999999895394,1.0000000000000004,1.0000000000000004,0.30172830696970515,0.30172830696970515
above_quantile_mean_0.7,0.9999999999995556,0.13437957834481867,,,,,0.9999999588936117,0.9999999999995746,1.0,0.9999999919876239,0.33346732047454264,0.7796972522921526,0.981045294219992,0.9999999999900634,0.9999999999995552,0.999999999999555,0.301728342694859,0.301728342694859
above_quantile_mean_0.9,0.9999999919063257,0.13437859629310533,,,,,0.9999999490683688,0.9999999919082234,0.9999999919876239,1.0,0.3334735919765715,0.7797039945499429,0.9810470405484301,0.9999999919197283,0.9999999919063265,0.9999999919063255,0.30173999889681913,0.30173999889681913
above_quantile_mean_fg_ratio,0.3334672851152792,0.023119437608083056,,,,,0.33348795647289264,0.3334672867692186,0.33346732047454264,0.3334735919765715,1.0,0.611777901887153,0.37490308580548726,0.3334673465427927,0.33346728511527923,0.3334672851152791,0.9596607892276686,0.9596607892276686
patch_aggregation_10,0.7796972909253208,0.13863084308500126,,,,,0.7797104926040218,0.7796972909311876,0.7796972522921526,0.7797039945499429,0.611777901887153,1.0,0.8039110556614563,0.7796974827057953,0.7796972909253208,0.7796972909253204,0.6131491260558078,0.6131491260558078
patch_aggregation_20,0.9810452789751807,0.13350526749993905,,,,,0.9810404302832371,0.9810452791902087,0.981045294219992,0.9810470405484301,0.37490308580548726,0.8039110556614563,1.0,0.9810454249415193,0.981045278975181,0.9810452789751801,0.3361574092858934,0.3361574092858934
patch_aggregation_40,0.9999999999895294,0.13437873772839753,,,,,0.9999999587433189,0.9999999999895394,0.9999999999900634,0.9999999919197283,0.3334673465427927,0.7796974827057953,0.9810454249415193,1.0,0.9999999999895298,0.9999999999895292,0.3017283312151727,0.3017283312151727
patch_aggregation_80,1.0000000000000002,0.13437965038370916,,,,,0.9999999589325681,1.0000000000000004,0.9999999999995552,0.9999999919063265,0.33346728511527923,0.7796972909253208,0.981045278975181,0.9999999999895298,1.0,1.0000000000000004,0.30172830560279407,0.30172830560279407
patch_aggregation_100,0.9999999999999991,0.1343796503837091,,,,,0.9999999589325679,1.0000000000000004,0.999999999999555,0.9999999919063255,0.3334672851152791,0.7796972909253204,0.9810452789751801,0.9999999999895292,1.0000000000000004,1.0,0.3017283056027939,0.3017283056027939
class_mean_w_equal_weights,0.301728305602794,0.03137029273863126,,,,,0.30175853044895085,0.30172830696970515,0.301728342694859,0.30173999889681913,0.9596607892276686,0.6131491260558078,0.3361574092858934,0.3017283312151727,0.30172830560279407,0.3017283056027939,1.0,1.0
class_mean_weighted_by_occurrence,0.301728305602794,0.03137029273863126,,,,,0.30175853044895085,0.30172830696970515,0.301728342694859,0.30173999889681913,0.9596607892276686,0.6131491260558078,0.3361574092858934,0.3017283312151727,0.30172830560279407,0.3017283056027939,1.0,1.0
