component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,1.0191065351385703e-67,3.53150104689654e-67,1.5387750615909543e-34,18
1,1.9827456640114933e-67,7.902158782206662e-67,1.6046497562646306e-34,18
2,5.579042297534762e-68,1.0172152084333484e-67,1.2762631473004212e-34,18
