,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9
component_0,0.0,0.95345378383624,1.3600914276715936,0.49783741223986644,0.31244254750835365,0.9495797652694294,0.9956409006797617,0.31679766774214607,0.9390961048777207,1.4178623256432217
component_1,0.95345378383624,0.0,1.045190880663129,0.9492063016001574,0.9280600396561514,0.523747797268536,1.2854611933583258,0.9157327492215195,0.3781593980027467,1.200599881255384
component_2,1.3600914276715936,1.045190880663129,0.0,1.4943144084783497,1.4343710188287142,0.9813517770229436,1.7857867375298637,1.4177024026041625,0.9582169594186253,0.3433131803971624
component_3,0.49783741223986644,0.9492063016001574,1.4943144084783497,0.0,0.21586086268645394,1.1859721213948995,0.770885456668017,0.20908092300227135,1.108975137901979,1.643106501760453
component_4,0.3124425475083544,0.9280600396561514,1.4343710188287142,0.21586086268645394,0.0,1.0773272063269699,0.8245528494013488,0.11747765062063313,1.0304940133540583,1.5476294660507495
component_5,0.9495797652694294,0.523747797268536,0.9813517770229436,1.1859721213948995,1.0773272063269699,0.0,1.5112639050269792,1.0738548260264043,0.21015440346494568,0.9841872271057595
component_6,0.9956409006797616,1.2854611933583258,1.7857867375298637,0.7708854566680168,0.8245528494013487,1.5112639050269792,0.0,0.8400909781149857,1.4526350638509737,1.925126916395079
component_7,0.31679766774214607,0.9157327492215195,1.4177024026041625,0.20908092300227135,0.11747765062063313,1.0738548260264043,0.8400909781149859,0.0,1.0114031668030317,1.5396778183725928
component_8,0.9390961048777207,0.3781593980027467,0.9582169594186253,1.108975137901979,1.0304940133540585,0.21015440346494568,1.4526350638509737,1.0114031668030317,0.0,1.023709390823025
component_9,1.4178623256432217,1.200599881255384,0.3433131803971624,1.643106501760453,1.5476294660507497,0.9841872271057595,1.925126916395079,1.5396778183725928,1.023709390823025,0.0
