component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,6.03300276237419e-42,2.541425768764262e-41,7.833208928013612e-22,18
1,3.785570822391375e-44,1.153460074103962e-43,7.02694111009858e-23,18
2,2.5624187279408834e-44,6.928847000338126e-44,6.411510514166588e-23,18
3,2.0117386072445322e-47,8.596309550971444e-47,1.1619746982602935e-24,18
4,1.8151238670832504e-42,7.911941500969975e-42,3.012700327765122e-22,18
5,4.926377953867121e-48,2.1384527387420796e-47,5.265215528605765e-25,18
6,3.994363484931915e-54,1.7410952199210316e-53,4.478010229603299e-28,18
