component_index,determinant,relative_volume,n_features
0,2.506690612281002e-36,1.5832531737789133e-18,21
1,6.092782869637998e-33,7.80562801422025e-17,21
2,1.3806629350903077e-27,3.7157272977040546e-14,21
3,6.728481814242731e-34,2.5939317289093657e-17,21
4,8.312727554555639e-41,9.117416056403064e-21,21
5,8.563436813646256e-30,2.926335048084251e-15,21
6,2.8422210932537795e-22,1.6858888140247505e-11,21
7,6.302248621440114e-36,2.5104279757523644e-18,21
8,3.328654422115334e-36,1.824460035768209e-18,21
9,1.1961725781783548e-32,1.0936967487280717e-16,21
10,6.326547824680714e-39,7.953959909806382e-20,21
