component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,2.9980862685824026e-27,8.938537785965474e-27,2.7341592354263104e-14,21
1,2.522738653320101e-27,9.372657701640234e-27,1.8672289809029834e-14,21
2,1.0805719694325307e-27,2.8455665483702513e-27,1.7378755719730595e-14,21
