component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,3.6637254710730293e-17,1.5235660311330163e-16,2.010704753835149e-09,18
1,5.761751300620846e-18,1.2130367637254673e-17,1.313338872205588e-09,18
2,5.899196169281573e-17,2.5658834407422927e-16,1.876251654542391e-09,18
