,component_0,component_1,component_2,component_3,component_4
component_0,0.0,7.818343688108462,1.087391543720963,2.6208976017161385,3.2120072868430536
component_1,7.818343688108462,0.0,7.062847930449505,5.742873167101943,5.0530347399915625
component_2,1.087391543720963,7.062847930449505,0.0,1.575490173455186,2.9581091539205078
component_3,2.6208976017161385,5.742873167101943,1.575490173455186,0.0,2.7537650783461913
component_4,3.212007286843053,5.0530347399915625,2.9581091539205078,2.7537650783461913,0.0
