component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,2.258547396817979e-26,9.47444738250049e-26,4.5855281629464955e-14,18
1,1.0785592051888198e-25,3.4229662963260022e-25,1.2699359511829492e-13,18
2,1.6623194895568909e-28,5.317018553093104e-28,4.614191776731573e-15,18
3,7.916457879883251e-27,1.865874709170332e-26,4.1395864805017975e-14,18
