component_index,determinant,relative_volume,n_features
0,2.4426345741348e-36,1.5628930142958603e-18,21
1,1.9355332595660634e-25,4.3994695811723297e-13,21
2,1.630910583540962e-35,4.038453396463753e-18,21
3,2.349179746538736e-33,4.846833756731023e-17,21
4,8.684945637440874e-30,2.9470231823724894e-15,21
5,3.6695616419204786e-29,6.057690683685061e-15,21
6,1.6982982627385144e-24,1.3031877311955153e-12,21
7,7.008531978605775e-24,2.6473632124447477e-12,21
