component_index,determinant,relative_volume,n_features
0,2.0426563609381005e-11,4.519575600582538e-06,3
1,8.206895411709523e-12,2.8647679507613743e-06,3
2,1.906040834274974e-11,4.365822756680548e-06,3
3,1.3598344275228461e-08,0.00011661193881943848,3
