,component_0,component_1,component_2,component_3,component_4
component_0,0.0,4.918201767685779,1.2172767329700673,3.4669939402236656,7.566976973049044
component_1,4.91820176768578,0.0,4.375620042780136,3.15316627032183,3.8840041090867783
component_2,1.2172767329700673,4.375620042780136,0.0,2.3443394909327657,6.5421754300300865
component_3,3.4669939402236656,3.15316627032183,2.3443394909327657,0.0,4.2839104346534524
component_4,7.566976973049044,3.8840041090867787,6.542175430030086,4.2839104346534524,0.0
