component_index,determinant,relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,4.795417067120459e-77,6.924894993514674e-39,0.4828155737473883,"[4.40301639e-01,8.10817878e-02,1.74713349e-01,2.16967751e-01,
 4.88685008e-01,6.39231248e-01,7.59272946e-01,1.00000008e-10,
 1.00000008e-10,2.91990643e-01,3.43916187e-01,4.20668869e-01,
 5.95546802e-01,2.69201335e-01,8.15498582e-01,7.70899075e-01,
 6.56219863e-01,4.75119655e-01,4.20358874e-01,3.05675136e-01,
 1.78967999e-01]",21
1,3.7979278776283454e-78,1.9488273083134752e-39,0.5319318031191697,"[4.32887514e-01,8.62440611e-02,1.95876167e-01,1.87896024e-01,
 4.66533238e-01,6.53414558e-01,7.91590652e-01,9.09309827e-01,
 1.00000008e-10,2.52173945e-01,2.88941525e-01,3.41815038e-01,
 5.04316215e-01,2.54009915e-01,8.34731876e-01,6.79296253e-01,
 4.93449566e-01,3.53435220e-01,3.22938042e-01,2.95701779e-01,
 1.69643572e-01]",21
2,2.8384912430599478e-83,5.327749283759464e-42,0.9782740072736621,"[0.43465025,0.08333969,0.18283205,0.21373556,0.57582264,0.77213595,
 0.85381464,0.9252962 ,0.95532657,0.28996119,0.3293862 ,0.40950852,
 0.69058045,0.31010513,0.94509506,0.89129259,0.67784148,0.43726063,
 0.38924341,0.2690166 ,0.16586683]",21
3,5.415858437802708e-84,2.3271996987372416e-42,0.608443844672897,"[4.28120439e-01,8.68360087e-02,2.02951236e-01,1.56785090e-01,
 4.16623242e-01,5.94494422e-01,7.45610459e-01,1.00000008e-10,
 1.00000008e-10,2.15293370e-01,2.58156734e-01,2.96813688e-01,
 4.10836510e-01,1.94953218e-01,6.82361526e-01,5.52802539e-01,
 4.19565598e-01,3.11126419e-01,2.86695109e-01,2.76093326e-01,
 1.52122115e-01]",21
4,2.0437773627380872e-81,4.520815593162463e-41,0.5207980666217619,"[4.34154969e-01,8.73811033e-02,1.91911947e-01,2.06899309e-01,
 4.21508823e-01,5.86588791e-01,7.43572172e-01,1.00000008e-10,
 1.00000008e-10,2.72213009e-01,3.14286856e-01,3.69125138e-01,
 4.92216422e-01,2.40665744e-01,7.10205592e-01,6.11757016e-01,
 4.97075635e-01,3.87157017e-01,3.55103533e-01,2.99302923e-01,
 1.99512952e-01]",21
5,1.4294750855273394e-76,1.195606576398499e-38,0.6289053406351857,"[4.42331032e-01,8.25847508e-02,1.68955672e-01,2.45132999e-01,
 5.53215749e-01,7.01507929e-01,7.99795387e-01,9.10499637e-01,
 1.00000008e-10,3.26755712e-01,3.82302476e-01,4.85038330e-01,
 7.10133442e-01,3.24969831e-01,9.05540118e-01,8.71922511e-01,
 7.73578311e-01,5.41194243e-01,4.71816282e-01,3.04065684e-01,
 1.76444012e-01]",21
6,1.2012864682885024e-91,3.4659579747719135e-46,1.0623070692750638,"[4.34005960e-01,6.79185815e-02,1.42503231e-01,1.48722336e-01,
 3.92721368e-01,5.54033596e-01,1.00000008e-10,1.00000008e-10,
 1.00000008e-10,1.96700363e-01,2.36692061e-01,2.78715575e-01,
 3.65374945e-01,2.04286598e-01,5.51052974e-01,4.72186477e-01,
 3.84079005e-01,3.01678782e-01,2.70656096e-01,2.18522086e-01,
 1.44337776e-01]",21
7,2.0261868177689344e-85,4.5013184932516546e-43,0.5047820692121527,"[4.32605304e-01,8.08013802e-02,1.86902196e-01,1.95865557e-01,
 4.57758244e-01,6.23818552e-01,7.54776018e-01,1.00000008e-10,
 1.00000008e-10,2.62016056e-01,2.87483431e-01,3.38661458e-01,
 4.99442292e-01,2.76412394e-01,7.50884612e-01,6.45647243e-01,
 4.86781403e-01,3.42516012e-01,3.12151669e-01,2.83391612e-01,
 1.73013244e-01]",21
8,3.019767416003157e-86,1.7377477998844243e-43,0.5634144142722253,"[4.35345934e-01,8.58191134e-02,1.83633640e-01,2.12098972e-01,
 5.69898246e-01,7.35461485e-01,8.14872301e-01,9.11962395e-01,
 1.00000008e-10,2.90665924e-01,3.31213484e-01,4.13068103e-01,
 6.85280782e-01,3.10411336e-01,9.08823026e-01,8.61540765e-01,
 6.68441875e-01,4.32988450e-01,3.85856602e-01,2.77087824e-01,
 1.61650142e-01]",21
9,4.7273822170324373e-82,2.1742544048552453e-41,1.094902290425631,"[0.43993653,0.08008905,0.16750032,0.24337237,0.63739436,0.79398186,
 0.85239122,0.92443725,0.95563614,0.33216783,0.39013667,0.50921832,
 0.83093557,0.34590365,0.95142176,0.930919  ,0.88445316,0.5776717 ,
 0.49879254,0.27350931,0.16261788]",21
