component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,3.671623121822922e-39,6.4555646102582e-39,3.509396650522582e-20,18
1,3.3488348924623963e-38,8.028746576028821e-38,8.585130013632798e-20,18
2,4.570520608601985e-39,1.2860380418597454e-38,2.8480022179333274e-20,18
