component_index,eigenvalue_index,mean_eigenvalue,std_dev_eigenvalue,n_features
0,0,0.11507494336523187,0.09684908308485447,18
0,1,0.05164229393094864,0.03140741067455694,18
0,2,0.01496094984106383,0.008505492214276775,18
0,3,0.007997721734389425,0.0043408330560709635,18
0,4,0.00494830648411645,0.0021560603452309445,18
0,5,0.003445993723419173,0.0018521612573432365,18
0,6,0.002102511474889074,0.0012131876261236747,18
0,7,0.001279335064992614,0.0007226816698384752,18
0,8,0.000839468634331046,0.00048547687532938275,18
0,9,0.0005577749814895886,0.0003614165147929711,18
0,10,0.00029852490703067435,0.00017693750716697655,18
0,11,0.0001899487305218656,8.799180556766899e-05,18
0,12,0.00013606349117556264,5.873207605662874e-05,18
0,13,9.017878988753864e-05,5.016100958057509e-05,18
0,14,3.4956258054378825e-05,1.999296232312683e-05,18
0,15,2.0618243085546244e-05,1.3095108623400541e-05,18
0,16,7.754233987419801e-06,4.574622953131267e-06,18
0,17,2.5839895504319264e-06,1.5250703915622373e-06,18
1,0,0.14706865418610982,0.10555913500563736,18
1,1,0.04061452175746018,0.03210510179992609,18
1,2,0.013632224676678734,0.011440547888185095,18
1,3,0.005956431929629229,0.005472908568989777,18
1,4,0.003369780499521971,0.002441620234285944,18
1,5,0.002027179509672965,0.0016634069432064614,18
1,6,0.0011675787347280257,0.0010882607258045722,18
1,7,0.0007220918768255556,0.0006836789495439573,18
1,8,0.0004524411326436775,0.0004579827526134469,18
1,9,0.00024463474276364814,0.0002863452015746009,18
1,10,0.00014698772999937603,0.00015378819361141295,18
1,11,9.843815707985465e-05,0.00010417654526303552,18
1,12,7.143335898955429e-05,7.610725183176672e-05,18
1,13,5.1615091772531096e-05,5.790768786051834e-05,18
1,14,1.6159931927212838e-05,1.7623071472768924e-05,18
1,15,1.0401325139511546e-05,1.1537083276802648e-05,18
1,16,5.235659318971087e-06,5.389910540121274e-06,18
1,17,1.9546995046514285e-06,1.4398211222117186e-06,18
2,0,0.16557786055622364,0.12293009047996772,18
2,1,0.04671060021062479,0.0304334001400761,18
2,2,0.016498554365161334,0.011036261792842788,18
2,3,0.0093069793582393,0.007797206909972162,18
2,4,0.005013524931537257,0.0032777702847387033,18
2,5,0.003321666951788908,0.0022736931352420873,18
2,6,0.001869528835114603,0.0014345117554010773,18
2,7,0.001201787376934139,0.0009103438550289856,18
2,8,0.0007682362155461968,0.0005759466108224806,18
2,9,0.00043664612866428756,0.00034133704998823685,18
2,10,0.00024246335284524505,0.0002113924233422054,18
2,11,0.00013365326702247636,9.777296533936382e-05,18
2,12,8.544235845136681e-05,6.060226242982034e-05,18
2,13,5.4872281567767914e-05,4.390040707554405e-05,18
2,14,2.591984407670628e-05,2.201864269273863e-05,18
2,15,1.2505753512059424e-05,1.227597743966841e-05,18
2,16,4.400726676853857e-06,4.19472311746531e-06,18
2,17,1.6493252820702917e-06,1.0745966360040591e-06,18
