component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,7.570821664233435e-56,2.4800271623760976e-55,9.581401653338277e-29,21
1,2.457568994524343e-56,5.2705187089136605e-56,8.742830550390868e-29,21
2,3.9190333335013803e-53,1.7080086890170522e-52,1.4198581161139852e-27,21
3,1.3557602739436588e-58,5.423261631323709e-58,3.5392670106589694e-30,21
4,1.2259792751249653e-58,3.5489037204555754e-58,4.072637473313499e-30,21
5,8.883248245611802e-59,3.391042414069577e-58,2.9645052206977493e-30,21
