component_index,determinant,relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,5.3596881393613835e-37,7.320989099405478e-19,2.399490442376673,"[ 0.22379335, 0.82153854, 0.81180451, 0.47410216, 1.05193464,-0.45842238,
  0.33543502, 0.27446873, 0.34255582, 0.69158411, 0.5831361 , 0.81304759,
  0.80190879, 0.46745435, 0.22961712, 0.22308388,-0.12061899,-0.2623753 ]",18
1,3.345931909172494e-28,1.8291888664576148e-14,2.5901003713945294,"[-0.37202707,-0.20780449, 0.38168725, 0.71254111, 1.06894399, 0.62306441,
 -0.50488516,-0.72718237,-0.79624529,-0.64768364,-0.02629716, 0.62510906,
 -0.41118419,-0.80985079,-0.79067185,-0.77145292,-0.24911241, 0.08268332]",18
2,3.404422099008279e-35,5.834742581304062e-18,3.923559282709144,"[-1.09957166,-0.98353322,-0.91681653,-0.49175049,-0.94211495,-0.45842238,
 -1.13262973,-0.95285776,-0.96679671,-1.07088731,-1.25790488,-1.11743772,
 -1.12113182,-0.96924652,-0.89056554,-0.87930665,-0.06885843,-0.4088276 ]",18
3,3.853102148806238e-33,6.207336102392264e-17,6.178168095238793,"[ 1.22215137, 1.82723594, 1.55476994, 0.88782023, 1.07048249, 1.44399627,
  1.46863621, 1.67201896, 1.86964704, 1.86718849, 1.33238473, 1.11010949,
  1.21976455, 1.8670367 , 1.868519  , 1.81311358,-0.2792174 ,-0.35813514]",18
4,8.409036896742155e-19,9.170080096019966e-10,7.711815964933113,"[2.79301989,0.80691826,0.34319637,0.19321684,0.62463738,0.64518351,
 2.7474633 ,3.05677168,2.74378681,1.30235565,1.90081976,0.81617326,
 0.9099324 ,1.36742581,2.56182337,2.73270013,0.82917488,1.49878929]",18
5,2.827262849045692e-29,5.317201189578679e-15,1.700598797886693,"[ 0.18710729,-0.5012139 ,-0.67025972,-0.4036874 ,-0.94211495,-0.45842238,
  0.13447382, 0.20199983, 0.08456823,-0.25694812,-0.25709748,-0.42423257,
 -0.28182639,-0.1179688 , 0.14551591, 0.18248409, 0.26732925, 0.54630745]",18
6,4.940050883690688e-34,2.2226225238871955e-17,4.045025759484444,"[ 0.38255058, 1.0782226 , 1.34771909, 1.00440842, 1.08032   , 2.18111287,
  0.48247281, 0.44634187, 0.53101637, 0.97264092, 0.68042707, 1.16099786,
  1.1549385 , 0.87200795, 0.57929682, 0.54560182,-0.24470501,-0.21321937]",18
7,3.6889522947179195e-26,1.9206645450775415e-13,1.7781379282287344,"[ 0.3605946 , 0.03852861,-0.05171368, 0.09056118, 1.04495178,-0.45842238,
  0.32568407, 0.41293399, 0.42606869, 0.233668  , 0.13679174, 0.44093909,
  0.40722513, 0.45069512, 0.49354182, 0.46590937, 0.38423658, 0.11916507]",18
8,4.543572880421731e-47,6.740603000045123e-24,12.159167876972102,"[ -1.47355207, -1.27729718, -1.4019073 ,-10.77348777, -0.94211495,
  -0.45842238, -1.70624409, -1.51877881, -1.32504304, -1.46609167,
  -1.16329221, -2.29434736, -1.69552564, -1.25463669, -1.08615425,
  -1.1897824 , -1.18123604, -0.85525005]",18
9,1.0800297965293054e-37,3.2863806786939724e-19,2.328960520313999,"[-0.10445896,-0.59535328,-0.60935951,-0.38307714,-0.94211495,-0.45842238,
 -0.23715057,-0.55147799,-0.58614685,-0.60659096, 0.04233095,-0.66594318,
 -0.66421552,-0.65896176,-0.68954143,-0.6926097 , 0.01000634, 0.30830381]",18
