,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
component_0,0.0,2.454496999403796,3.7747042266863122,5.013832054571441,3.646360008980858,3.4485365485669233,11.84003823780984,5.263491888778752,7.007229842661296,7.707942217523113,5.047528293725522
component_1,2.454496999403796,0.0,2.9975290853370264,3.8385671151186913,2.1141365973078243,4.233051836868304,12.620968738588415,5.290053877393608,6.3055219288646,7.936299029977747,4.396463708397113
component_2,3.7747042266863122,2.9975290853370264,0.0,5.020559978091442,4.202912800958997,3.347488076821307,12.31936688659476,4.712624119180983,8.070014127375673,9.839005158528781,6.726063100407179
component_3,5.013832054571441,3.8385671151186913,5.020559978091442,0.0,2.7796577597376433,7.01106302955848,14.623356324338834,7.884437649447575,3.568600906670797,7.272140138471346,3.9708829784513267
component_4,3.646360008980858,2.1141365973078243,4.202912800958997,2.7796577597376433,0.0,5.871044226032364,13.69135576291982,6.875171725665424,4.778936896001793,7.10405484353943,3.0398647482936267
component_5,3.4485365485669233,4.233051836868304,3.347488076821307,7.01106302955848,5.871044226032364,0.0,10.772241025117891,2.8884535284894124,9.764124237009229,11.004276176039202,8.103549318361596
component_6,11.84003823780984,12.620968738588415,12.31936688659476,14.623356324338834,13.69135576291982,10.772241025117891,0.0,11.095197343506618,16.294969592729583,16.575444434947972,14.79419504608981
component_7,5.263491888778752,5.290053877393608,4.712624119180983,7.884437649447575,6.875171725665424,2.888453528489412,11.095197343506618,0.0,10.71794800101368,12.618733128464685,9.250009426319028
component_8,7.007229842661296,6.3055219288646,8.070014127375673,3.568600906670797,4.778936896001793,9.764124237009229,16.294969592729583,10.71794800101368,0.0,5.235870801296913,3.205604259022974
component_9,7.707942217523113,7.9362990299777465,9.839005158528781,7.272140138471346,7.10405484353943,11.0042761760392,16.575444434947972,12.618733128464685,5.235870801296913,0.0,4.467127600543821
component_10,5.047528293725522,4.396463708397114,6.72606310040718,3.9708829784513267,3.0398647482936267,8.103549318361596,14.79419504608981,9.250009426319028,3.205604259022974,4.467127600543821,0.0
