component_index,mean_determinant,mean_relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,2.808149295565945e-26,6.188821793224443e-14,1.0609226111255083,"[ 0.27540161,-0.46881631,-0.48550899, 0.11600696, 0.10187979, 0.07408886,
  0.04397608,-0.41739179,-0.4378469 , 0.12199384, 0.12556374, 0.13856721,
  0.14176489, 0.07056585, 0.07484056, 0.09149078, 0.11875855, 0.13116228,
  0.13708457,-0.47545378,-0.52663603]",21
1,1.792299094829896e-21,9.481165438178738e-12,3.653855075480661,"[ 0.395846  ,-0.75963638,-0.65159688,-0.59179614,-0.67622089,-0.677174  ,
 -0.66900899,-1.41155264,-1.42127048,-0.59132655,-0.59530025,-0.58952405,
 -0.59858711,-0.42279794,-0.63219763,-0.63010796,-0.60350581,-0.63640606,
 -0.60795641,-1.49962387,-1.5022639 ]",21
2,2.5166820921664687e-28,8.092198265258126e-15,5.181216852093015,"[ 0.74116216,-1.08305754,-1.06569073,-0.77207436,-0.80620229,-0.81365401,
 -0.80773818,-2.0176012 ,-2.04382978,-0.76740116,-0.77334791,-0.7795304 ,
 -0.77796975,-0.46167998,-0.85343181,-0.80133805,-0.78326615,-0.78624472,
 -0.76386909,-2.18590796,-2.21516441]",21
