component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,1.6618820368161347e-47,4.68229140771179e-47,1.839886411500683e-24,18
1,4.147917918626486e-47,1.724242525256728e-46,1.8851702871908474e-24,18
2,6.4969388949477544e-46,2.8155298563299054e-45,6.268686027257463e-24,18
3,6.785835052816193e-50,2.8615918862052276e-49,7.069147165816299e-26,18
4,3.130294676609737e-51,1.0285661715229572e-50,1.813208164966144e-26,18
5,8.576019201671319e-48,2.59215716911713e-47,9.633842777414125e-25,18
