component_index,eigenvalue_index,eigenvalue,n_features
0,0,2.5287991742434768,18
0,1,1.0889791423185553,18
0,2,0.629366261578092,18
0,3,0.36718310620044203,18
0,4,0.11299730659286704,18
0,5,0.09978961284716624,18
0,6,0.05743145780017535,18
0,7,0.03127692816021445,18
0,8,0.023116265439257124,18
0,9,0.014504630282454738,18
0,10,0.010476344414835503,18
0,11,0.009055971422109526,18
0,12,0.006130052019247987,18
0,13,0.00508920778722155,18
0,14,0.0033653009216979045,18
0,15,0.0005042037373674067,18
0,16,0.00014695158482885376,18
0,17,9.999999999968801e-07,18
1,0,2.1051115118526504,18
1,1,1.1660810183678778,18
1,2,0.678725022045977,18
1,3,0.35773277917139057,18
1,4,0.1568539207612739,18
1,5,0.06849707822047453,18
1,6,0.03603521372391586,18
1,7,0.023084449126554288,18
1,8,0.01848925433201572,18
1,9,0.014206581750467993,18
1,10,0.009469926034508956,18
1,11,0.006476592896189035,18
1,12,0.0055284800930671925,18
1,13,0.0023258062509706034,18
1,14,0.0015542279072206016,18
1,15,0.0003538160535946635,18
1,16,9.999999999945434e-07,18
1,17,9.999999999623847e-07,18
2,0,4.147055811590354,18
2,1,2.1541477318417566,18
2,2,1.0973634214478418,18
2,3,0.8329943660196304,18
2,4,0.4923172447623312,18
2,5,0.23603853364708188,18
2,6,0.15475267962031744,18
2,7,0.11598559637233347,18
2,8,0.07882619386210153,18
2,9,0.0680054358720135,18
2,10,0.05271292494265231,18
2,11,0.0414209241718225,18
2,12,0.036757925061572376,18
2,13,0.024680169308165637,18
2,14,0.014824559560725141,18
2,15,0.009578504291548934,18
2,16,0.00396005083821508,18
2,17,0.0014175030414417043,18
3,0,4.459779226027926,18
3,1,2.4689009507329414,18
3,2,1.4561425462311384,18
3,3,0.818813392480347,18
3,4,0.5040725657116393,18
3,5,0.2583672218296834,18
3,6,0.23244714670970149,18
3,7,0.15585795498611169,18
3,8,0.09306837840959535,18
3,9,0.07847230052837698,18
3,10,0.04358770334583791,18
3,11,0.038610553258352,18
3,12,0.02659658678064998,18
3,13,0.011909217809519042,18
3,14,0.006736404449880726,18
3,15,0.0016903019517285121,18
3,16,1.0000000000727467e-06,18
3,17,1.0000000000244466e-06,18
4,0,3.680961348517846,18
4,1,2.368786391902735,18
4,2,0.9099881646730241,18
4,3,0.5661441837383815,18
4,4,0.4678097212653131,18
4,5,0.33340205786149635,18
4,6,0.19233948319417518,18
4,7,0.13347195086448052,18
4,8,0.07328734369115146,18
4,9,0.05627090689735552,18
4,10,0.03198394939635828,18
4,11,0.019570441313073998,18
4,12,0.015214957441073275,18
4,13,0.01067321898857494,18
4,14,0.007285818625467801,18
4,15,0.0032720340402978857,18
4,16,1.000000000103812e-06,18
4,17,9.999999998136205e-07,18
5,0,10.237333756102124,18
5,1,2.362823420720636,18
5,2,1.3047150884436105,18
5,3,0.6198744374499032,18
5,4,0.4333066334492178,18
5,5,0.20374606947888532,18
5,6,0.1533753534872218,18
5,7,0.09598657295845092,18
5,8,0.0755875652881336,18
5,9,0.06050360630259603,18
5,10,0.038352402713317475,18
5,11,0.030953849464628997,18
5,12,0.029839449677621994,18
5,13,0.02565219527913464,18
5,14,0.021496761553972007,18
5,15,0.013467306454331205,18
5,16,0.01035043748820262,18
5,17,1.0000000000495723e-06,18
6,0,1.7181477983156335,18
6,1,1.1868387873406685,18
6,2,0.8042075341581125,18
6,3,0.5410636597360673,18
6,4,0.2245639054786779,18
6,5,0.1572635463608137,18
6,6,0.12970212704444087,18
6,7,0.09736748809264864,18
6,8,0.08609452808837155,18
6,9,0.04814367539768223,18
6,10,0.038941580132428696,18
6,11,0.025201091345070842,18
6,12,0.011680444770763222,18
6,13,0.006667040875070727,18
6,14,0.004454421082654643,18
6,15,0.00086930331799676,18
6,16,1.0000000000844335e-06,18
6,17,9.999999999889873e-07,18
7,0,3.4786540114250695,18
7,1,1.1311814139639287,18
7,2,0.7074031231352262,18
7,3,0.6707065120267828,18
7,4,0.3720891318127076,18
7,5,0.223752574238038,18
7,6,0.11745836213419676,18
7,7,0.09812963527753324,18
7,8,0.07447156815895838,18
7,9,0.06330352689492667,18
7,10,0.045416729610380686,18
7,11,0.01918122260820972,18
7,12,0.01029253031573493,18
7,13,0.006395232388824987,18
7,14,0.0061987661330062055,18
7,15,0.003111281113289665,18
7,16,0.0003690410012242835,18
7,17,0.0002269059566190272,18
