,component_0,component_1,component_2,component_3,component_4,component_5
component_0,0.0,1.422177972439399,7.219746006067883,2.140852109167748,3.328308516668344,1.9203785424930684
component_1,1.422177972439399,0.0,7.81498677305379,2.774137235247476,3.265665969639077,2.128824771211392
component_2,7.219746006067883,7.81498677305379,0.0,5.532709138062993,9.779749118174955,8.923630583622787
component_3,2.140852109167748,2.774137235247476,5.532709138062993,0.0,4.35765031340203,3.520904457401417
component_4,3.328308516668344,3.265665969639077,9.779749118174955,4.35765031340203,0.0,2.0710800182769065
component_5,1.9203785424930684,2.128824771211392,8.923630583622787,3.520904457401417,2.0710800182769065,0.0
