component_index,mean_determinant,mean_relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,1.706391221772933e-20,5.33519799878186e-11,0.30649769898506835,"[ 0.05158798, 0.10331904, 0.09811969,-0.0178641 , 0.06458365, 0.09073361,
  0.06830382, 0.0314415 , 0.03181843,-0.01649907, 0.01017768, 0.05042475,
  0.09342054, 0.16969007, 0.03237257, 0.05470696, 0.00554518,-0.05328272,
 -0.05177337,-0.18004063,-0.12463782]",21
1,9.713478171663915e-23,5.222721846648516e-12,3.321829576639498,"[ 0.41111973,-0.78696606,-0.73193264,-0.42867018,-0.61714437,-0.60698493,
 -0.24460331, 0.17101488, 0.30043257,-0.49195802,-0.55042439,-0.65259953,
 -0.75241922, 0.62716895,-0.77399065,-0.74082807,-0.70028768,-0.55233875,
 -0.5201591 ,-1.65489289,-1.62897095]",21
2,3.5308271521146055e-23,2.709852348107566e-12,3.8551302284086733,"[ 0.64722942,-0.82767988,-0.75946547,-0.47390065,-0.81100238,-0.72923832,
 -0.4862281 , 0.19699155, 0.40111317,-0.52822557,-0.58357846,-0.68460296,
 -0.79684395, 0.67715297,-0.85001941,-0.82520065,-0.77027841,-0.66088503,
 -0.61322941,-1.92850965,-1.93170767]",21
