component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,4.8392572462027806e-57,8.864135354929091e-57,4.4244387442943176e-29,18
1,3.931789283722178e-57,1.16242246936072e-56,2.384834012622535e-29,18
2,2.8234969958285265e-58,9.371811979077435e-58,6.2803084755032206e-30,18
