,component_0,component_1,component_2,component_3
component_0,0.0,5.523920843742179,6.934861972826578,3.169224276859554
component_1,5.523920843742179,0.0,1.4862814898649945,4.981663857632587
component_2,6.934861972826578,1.4862814898649945,0.0,6.2710192902960795
component_3,3.169224276859554,4.981663857632587,6.2710192902960795,0.0
