component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,2.5971132357993868e-71,5.108568529968496e-71,3.430703786709415e-36,21
1,4.117961941832906e-71,9.925102573750173e-71,3.829676020427435e-36,21
2,1.158804491879932e-71,2.8843365500717727e-71,1.548193717167159e-36,21
