component_index,eigenvalue_index,eigenvalue,n_features
0,0,2.197536740518856,18
0,1,1.0010314003852212,18
0,2,0.5535742539011383,18
0,3,0.3555852289043588,18
0,4,0.1111612148072764,18
0,5,0.06033854712241402,18
0,6,0.035233068204349086,18
0,7,0.022473823573971027,18
0,8,0.015513811817811744,18
0,9,0.011943045507806026,18
0,10,0.008812803846827264,18
0,11,0.004536816128384231,18
0,12,0.004096824970623491,18
0,13,0.0029369995436638405,18
0,14,0.000394803371712776,18
0,15,0.00011462163525860683,18
0,16,5.777805056819509e-05,18
0,17,9.999999999868648e-07,18
1,0,2.577688849253859,18
1,1,1.8371471706686007,18
1,2,1.0548387996307658,18
1,3,0.9734411121851857,18
1,4,0.21340026415360366,18
1,5,0.16991455022572943,18
1,6,0.07469625437303198,18
1,7,0.05864873019373236,18
1,8,0.03170436556677417,18
1,9,0.02471130785680178,18
1,10,0.02171966031674375,18
1,11,0.012445180839193184,18
1,12,0.0072964819571511835,18
1,13,0.00407965884124698,18
1,14,0.0018895772571942164,18
1,15,0.0010869471011371453,18
1,16,0.0002592749435028672,18
1,17,0.0001290398672072699,18
2,0,2.2160244550114068,18
2,1,1.0037220032590346,18
2,2,0.49766514000621714,18
2,3,0.28712596985346256,18
2,4,0.13553643496954518,18
2,5,0.05193674889136153,18
2,6,0.04799237159001937,18
2,7,0.026105440915987044,18
2,8,0.020046694580809567,18
2,9,0.018879448304876565,18
2,10,0.014521110560401613,18
2,11,0.011218921821964288,18
2,12,0.009288702245085495,18
2,13,0.004204702864861488,18
2,14,0.002678414363411941,18
2,15,0.0018830441575801535,18
2,16,1.0000000000429452e-06,18
2,17,9.999999999981812e-07,18
3,0,1.746104299257534,18
3,1,1.128925931921275,18
3,2,0.7192524096410731,18
3,3,0.4849555305267348,18
3,4,0.27990855735623726,18
3,5,0.135256516579367,18
3,6,0.05277724102209706,18
3,7,0.03498167188912129,18
3,8,0.01416862115688707,18
3,9,0.009526625118242133,18
3,10,0.007934952828319554,18
3,11,0.006668582229525474,18
3,12,0.004644699264009534,18
3,13,0.0012677644121066878,18
3,14,0.0012052170282387234,18
3,15,0.00027426009582644765,18
3,16,0.00017371568232839787,18
3,17,3.319880424311809e-05,18
4,0,8.846932398564682,18
4,1,3.618352669795481,18
4,2,2.3570904385794487,18
4,3,1.312421865439163,18
4,4,0.8423339835615057,18
4,5,0.46505756231290307,18
4,6,0.38212444536505136,18
4,7,0.2050366928596735,18
4,8,0.12474488563021531,18
4,9,0.05661011305228063,18
4,10,0.033098016967460064,18
4,11,0.027541111345033842,18
4,12,0.01650955938878281,18
4,13,0.012822575067576279,18
4,14,0.01096391786795165,18
4,15,0.006711950629415967,18
4,16,0.004343687069780324,18
4,17,0.0006351576194623356,18
5,0,5.11576446426867,18
5,1,2.4800747750286085,18
5,2,0.9618644911530704,18
5,3,0.6815602569607233,18
5,4,0.3695083109804069,18
5,5,0.24996325655750345,18
5,6,0.10176138447295378,18
5,7,0.08404351237134448,18
5,8,0.054019218044311604,18
5,9,0.03097805102605174,18
5,10,0.02792846781871261,18
5,11,0.01910121713909376,18
5,12,0.014249649797364466,18
5,13,0.013041308753586613,18
5,14,0.008885985384645887,18
5,15,0.002919064121191963,18
5,16,1.000000000099761e-06,18
5,17,9.999999999922274e-07,18
6,0,2.039998852132449,18
6,1,0.9204136519072291,18
6,2,0.6266295818327581,18
6,3,0.4057898566193135,18
6,4,0.19022172412154068,18
6,5,0.0801166735959721,18
6,6,0.03681288226769187,18
6,7,0.02437136133081562,18
6,8,0.01831465756823071,18
6,9,0.01096022023988254,18
6,10,0.009973259390958177,18
6,11,0.007971388296244638,18
6,12,0.004766852148082333,18
6,13,0.0019470342597275247,18
6,14,0.0015160369618067461,18
6,15,0.00011663485383379148,18
6,16,8.12330537939291e-05,18
6,17,3.556955044329127e-05,18
7,0,7.9466872271156666,18
7,1,2.540309989671138,18
7,2,1.2743707883551247,18
7,3,0.7029446235280136,18
7,4,0.3817377256749572,18
7,5,0.215447687187505,18
7,6,0.12756825128972388,18
7,7,0.10823298079197308,18
7,8,0.06199545815439986,18
7,9,0.03945497750497569,18
7,10,0.026636561231732876,18
7,11,0.021679079254741523,18
7,12,0.018038933415637066,18
7,13,0.014543911777003616,18
7,14,0.012199516787745989,18
7,15,0.004427551058510542,18
7,16,8.974808360567177e-05,18
7,17,1.0000000000426335e-06,18
8,0,8.96306651299667,18
8,1,2.4935665961460027,18
8,2,0.946932911739177,18
8,3,0.7633692579463734,18
8,4,0.16214930322004237,18
8,5,0.05013135344168505,18
8,6,0.04363590696840418,18
8,7,0.01960987465971937,18
8,8,0.0163272136168798,18
8,9,0.010071863001362553,18
8,10,0.004336244291622487,18
8,11,0.0017988300970573844,18
8,12,0.0003152077723552442,18
8,13,1.0000000001031772e-06,18
8,14,1.0000000000092136e-06,18
8,15,9.999999999789368e-07,18
8,16,9.999999998883968e-07,18
8,17,9.999999997715871e-07,18
9,0,4.167905699032211,18
9,1,0.8718619086177016,18
9,2,0.5152911578573454,18
9,3,0.24882779027159155,18
9,4,0.11858932325816515,18
9,5,0.07428652203287098,18
9,6,0.04819535623713865,18
9,7,0.02873715718330149,18
9,8,0.015926302001734127,18
9,9,0.015204541461517547,18
9,10,0.01129299933736649,18
9,11,0.007829719503452025,18
9,12,0.003021208305447918,18
9,13,0.0015426124808002575,18
9,14,0.0010452883818641188,18
9,15,0.00018213631542261677,18
9,16,1.0000000001764985e-06,18
9,17,9.999999999759654e-07,18
