component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,2.8579724608454795e-25,6.668745426721404e-25,2.699605821117451e-13,18
1,3.3745745879936015e-25,1.3111856583120634e-24,2.2567609538727795e-13,18
2,2.2086091355639886e-25,8.862678153836289e-25,1.701391597311667e-13,18
