component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,3.969474775963426e-80,1.0656578537445742e-79,9.577693809207587e-41,21
1,3.6352585581275636e-80,1.0611749987502116e-79,7.66837780727494e-41,21
2,1.277739408856138e-80,2.8088673824263298e-80,6.151608201911229e-41,21
