component_index,determinant,relative_volume,n_features
0,1.6592674269520165e-31,4.0734106433700203e-16,21
1,2.2691684122382348e-30,1.506375919960962e-15,21
2,1.3090510234415272e-34,1.1441376767861144e-17,21
3,2.91820632546601e-35,5.402042507668752e-18,21
4,3.864240444216549e-41,6.216301508305842e-21,21
5,4.515956987971942e-38,2.1250781133812334e-19,21
6,6.06619557360182e-60,2.4629647934150053e-30,21
7,1.3699837059321392e-32,1.1704630305704402e-16,21
8,1.9814068360536845e-38,1.4076245366054417e-19,21
9,1.0588089049042426e-20,1.0289844045971943e-10,21
10,5.632679311082555e-35,7.505117794600265e-18,21
