component_index,eigenvalue_index,mean_eigenvalue,std_dev_eigenvalue,n_features
0,0,0.09913682253338454,0.020782253445618477,18
0,1,0.023630279935382085,0.00890512151203008,18
0,2,0.007281160955800852,0.002350513915033822,18
0,3,0.003769365929460275,0.00044426078022905333,18
0,4,0.0018149157064546542,0.000590752995690519,18
0,5,0.0010507960721193497,0.0002601331464912978,18
0,6,0.0007489058352405128,0.00020273759063604393,18
0,7,0.0005231891744302125,0.0001475741233702743,18
0,8,0.0002634163472414897,8.405917833979924e-05,18
0,9,0.00014389929963927727,4.5144037963035995e-05,18
0,10,5.314350330475387e-05,1.0371413731843437e-05,18
0,11,2.957219998503812e-05,8.981953119857879e-06,18
0,12,1.492948767764521e-05,4.979339334699301e-06,18
0,13,8.544459029811332e-06,2.300005510738922e-06,18
0,14,5.0560394825056704e-06,1.0493533882469037e-06,18
0,15,2.6366208474561927e-06,6.690778033579446e-07,18
0,16,1.6643656064216831e-06,2.602936671005982e-07,18
0,17,1.319940189506958e-06,1.462768276450544e-07,18
1,0,0.21381150604330385,0.1991037108205836,18
1,1,0.05985909449060049,0.04143698233343887,18
1,2,0.015060848440064287,0.012410322871201923,18
1,3,0.0036930129584985963,0.0026982857759215084,18
1,4,0.001560992185651554,0.0015110038883652018,18
1,5,0.0007877867496296221,0.0006800062658955598,18
1,6,0.0004396938656007317,0.0004333951149039864,18
1,7,0.00028360420177613087,0.0002846441270591448,18
1,8,0.00015998596600210922,0.00018166927114418455,18
1,9,6.443603458349216e-05,6.809102291203919e-05,18
1,10,2.5758027802743065e-05,2.5640789716172815e-05,18
1,11,1.4325450771074416e-05,1.4905323123842708e-05,18
1,12,7.683271535277601e-06,8.459040804784107e-06,18
1,13,4.706054130040426e-06,4.439150225050298e-06,18
1,14,2.729578090488917e-06,1.9566370155976852e-06,18
1,15,1.918991213634924e-06,1.1240847442789086e-06,18
1,16,1.3476712463242801e-06,4.253759210565964e-07,18
1,17,1.135101695887056e-06,1.6408026338865498e-07,18
2,0,0.16245803478694515,0.09202072446528317,18
2,1,0.04844762327966151,0.03758143576145732,18
2,2,0.017431729664709468,0.015169446319890477,18
2,3,0.003448118997589756,0.0015115747853476174,18
2,4,0.0012557068159336129,0.0007649242596079267,18
2,5,0.0006584466141585216,0.0004509095743091666,18
2,6,0.0003717039033478256,0.00032711520820295173,18
2,7,0.00026611531665411274,0.0002475869674835142,18
2,8,0.0001369179192118231,0.00013024597936496244,18
2,9,7.98811709127449e-05,7.79561456039229e-05,18
2,10,2.9501733855252155e-05,2.6452332177664363e-05,18
2,11,1.4989205538094511e-05,1.3505356421086876e-05,18
2,12,7.122935400962601e-06,5.906129239393332e-06,18
2,13,4.792412499479144e-06,3.7119082298793927e-06,18
2,14,2.846685157597063e-06,1.808194772396841e-06,18
2,15,1.7121145929473607e-06,6.817602120729538e-07,18
2,16,1.3793308157370836e-06,4.255733330184857e-07,18
2,17,1.1725088789148072e-06,1.828449942528277e-07,18
