component_index,mean_determinant,mean_relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,1.1830357936569633e-69,1.4201482572555918e-35,0.0902045303430447,"[0.38573236,0.15267623,0.37567333,0.29379081,0.62002106,0.72415645,
 0.9004218 ,1.09402358,1.12878151,0.39787089,0.49277922,0.61436938,
 0.82252211,0.85785458,1.22072953,0.84430343,0.61575459,0.47449668,
 0.43394134,0.89743901,0.74267555]",21
1,1.3847689561941114e-69,1.28905322589191e-35,0.6153808381995073,"[0.39687886,0.1007298 ,0.25542973,0.17594932,0.56021393,0.70140129,
 0.88159609,1.09905438,1.14164365,0.2302505 ,0.284629  ,0.37401568,
 0.57260624,1.02630834,0.98661415,0.67741412,0.47083216,0.32665556,
 0.28588184,0.6867334 ,0.6039148 ]",21
2,1.5800272020143755e-69,9.85395295146752e-36,0.8206345307319413,"[0.39949067,0.09003302,0.21677664,0.21997965,0.51822377,0.66421759,
 0.86045525,1.09670847,1.14197173,0.27922118,0.33483179,0.41562358,
 0.56622893,1.11794069,0.8763636 ,0.60505864,0.44321464,0.33728465,
 0.30947207,0.46041199,0.38488541]",21
