component_index,eigenvalue_index,eigenvalue,n_features
0,0,3.2512016797653707,21
0,1,1.288179603600904,21
0,2,0.7294811106812253,21
0,3,0.5442497229916412,21
0,4,0.41616193854882594,21
0,5,0.22155915684671937,21
0,6,0.12471173693133017,21
0,7,0.05784817860269822,21
0,8,0.05448935207352395,21
0,9,0.03954879304200261,21
0,10,0.030268387188054902,21
0,11,0.015764184621550003,21
0,12,0.012584750679835152,21
0,13,0.009313790356296951,21
0,14,0.005566016497949065,21
0,15,0.003994236025773806,21
0,16,0.002498306937600503,21
0,17,0.001065632222962762,21
0,18,0.00012135705824651801,21
0,19,5.926371599462321e-05,21
0,20,4.417301491400949e-05,21
1,0,7.430700522933503,21
1,1,2.4070766661822662,21
1,2,1.9571510418889544,21
1,3,1.2125334983248426,21
1,4,0.951730283088697,21
1,5,0.5683293184316371,21
1,6,0.22189019121829473,21
1,7,0.17352943036292048,21
1,8,0.07694866842129507,21
1,9,0.05658426269785967,21
1,10,0.04971943528361171,21
1,11,0.030504395695498315,21
1,12,0.024076590976071625,21
1,13,0.010847657510701646,21
1,14,0.008336229783388008,21
1,15,0.005738745431978762,21
1,16,0.0031334654193446872,21
1,17,0.0019181164402202872,21
1,18,0.00022971291251351784,21
1,19,6.0501267616304296e-05,21
1,20,9.999999997880425e-07,21
2,0,10.856646579631821,21
2,1,5.296744095576025,21
2,2,2.393323421362465,21
2,3,1.8594947611720087,21
2,4,0.9517180978439994,21
2,5,0.6498391978809166,21
2,6,0.5746257316404174,21
2,7,0.4991545695006851,21
2,8,0.22981005826100656,21
2,9,0.14594157270689403,21
2,10,0.08585437397350208,21
2,11,0.05855782322449757,21
2,12,0.05012556169656591,21
2,13,0.026023355332443,21
2,14,0.020329823469073704,21
2,15,0.017595869550820393,21
2,16,0.011152762177642413,21
2,17,0.008386486502242238,21
2,18,0.004132639169876424,21
2,19,1.0000000000500922e-06,21
2,20,1.0000000000192511e-06,21
3,0,1.8832306468164672,21
3,1,1.4700832718400327,21
3,2,1.0717955928699345,21
3,3,0.7064292702891418,21
3,4,0.3640239798949865,21
3,5,0.3128885343207642,21
3,6,0.1936718744685287,21
3,7,0.13018921919593754,21
3,8,0.0809934063923904,21
3,9,0.05734164846812535,21
3,10,0.03757389174011018,21
3,11,0.02918325357839099,21
3,12,0.014914555131316965,21
3,13,0.010886829198224507,21
3,14,0.004679208048145101,21
3,15,0.004107714698935041,21
3,16,0.0030590947457132538,21
3,17,0.0013341879441046993,21
3,18,0.0006294047373520137,21
3,19,0.00015637762469723258,21
3,20,1.750616967476237e-05,21
4,0,2.4382560684826,21
4,1,1.3199123344973733,21
4,2,0.7874358504731495,21
4,3,0.39790384789292793,21
4,4,0.31384690442786256,21
4,5,0.12014184518982855,21
4,6,0.0932715348269296,21
4,7,0.07518620613957941,21
4,8,0.0447963536783795,21
4,9,0.029494509205959998,21
4,10,0.024132064747842238,21
4,11,0.011628488377443659,21
4,12,0.00770696798528111,21
4,13,0.004885016881122103,21
4,14,0.003468449499242145,21
4,15,0.002766049571910811,21
4,16,0.0024192850805206424,21
4,17,0.00031967831957995516,21
4,18,9.241405427256402e-05,21
4,19,3.257178694284575e-05,21
4,20,1.0000000000026128e-06,21
5,0,2.7090666568181057,21
5,1,2.4330902897185234,21
5,2,1.2726489712037112,21
5,3,1.019875036104046,21
5,4,0.7912984371322197,21
5,5,0.3083183302262889,21
5,6,0.22688456625836814,21
5,7,0.13325165109546266,21
5,8,0.09453317436972616,21
5,9,0.05581743924796872,21
5,10,0.04623638845285623,21
5,11,0.03694164202065654,21
5,12,0.01983750013802437,21
5,13,0.01205871116067042,21
5,14,0.011841133178204772,21
5,15,0.00635395437450941,21
5,16,0.0036895547462746222,21
5,17,0.0025816930780950507,21
5,18,0.002112225876781201,21
5,19,0.000519749878192425,21
5,20,8.000269476367476e-05,21
6,0,9.296769680295029,21
6,1,3.9249966577648823,21
6,2,2.5103973471449375,21
6,3,1.8591982624903762,21
6,4,1.2589487767321466,21
6,5,0.6250796908632799,21
6,6,0.45277388629900867,21
6,7,0.24855114438601242,21
6,8,0.14807600967910667,21
6,9,0.091834336390348,21
6,10,0.08294761749899608,21
6,11,0.05816734499294105,21
6,12,0.03862537514705883,21
6,13,0.034115794741039276,21
6,14,0.018938783467883313,21
6,15,0.014138954086667915,21
6,16,0.011031909861232926,21
6,17,0.006560524566316851,21
6,18,0.005190754214221318,21
6,19,0.002759066648502122,21
6,20,0.0007852813623809877,21
7,0,3.134550283458891,21
7,1,1.7522835546597677,21
7,2,1.3530985181363713,21
7,3,0.7849656557240339,21
7,4,0.464957780393444,21
7,5,0.23416058282251756,21
7,6,0.16090867797231123,21
7,7,0.12911016422388333,21
7,8,0.0694785346786469,21
7,9,0.05344611040882278,21
7,10,0.03640227255700014,21
7,11,0.021910750311129656,21
7,12,0.018856849063699208,21
7,13,0.012575944178094966,21
7,14,0.003829383381823623,21
7,15,0.0027616392097245404,21
7,16,0.0026386993239118617,21
7,17,0.002016479038338807,21
7,18,0.00036394325513371405,21
7,19,3.320422231216847e-05,21
7,20,1.0000000000196484e-06,21
8,0,5.9606085844893855,21
8,1,2.640610186233812,21
8,2,1.0055997969394015,21
8,3,0.5850197532720651,21
8,4,0.26326366201131274,21
8,5,0.22388080928908416,21
8,6,0.1636990542631195,21
8,7,0.07109786520775156,21
8,8,0.06519561043880781,21
8,9,0.047874210981906314,21
8,10,0.02911569222260314,21
8,11,0.02086365592799332,21
8,12,0.01482682041870217,21
8,13,0.01315219496853469,21
8,14,0.01037691182256859,21
8,15,0.006623523371574692,21
8,16,0.005785053390758451,21
8,17,0.0020607584278723333,21
8,18,0.001729785084907157,21
8,19,1.0000000000238139e-06,21
8,20,1.000000000002039e-06,21
9,0,3.7016441696887985,21
9,1,2.3549455819292535,21
9,2,1.222141405198661,21
9,3,1.0727295829454295,21
9,4,0.5722566983929143,21
9,5,0.43564005685700197,21
9,6,0.15686202315917014,21
9,7,0.10071867749234151,21
9,8,0.0938418060920915,21
9,9,0.08953851512694098,21
9,10,0.05905151110565196,21
9,11,0.03709754084767141,21
9,12,0.01607923067604337,21
9,13,0.013559226359578283,21
9,14,0.011573895012914916,21
9,15,0.0077902215413896666,21
9,16,0.007179160695137728,21
9,17,0.0036496315105250935,21
9,18,0.001155391965537577,21
9,19,2.426029752730711e-05,21
9,20,9.999999999820537e-07,21
10,0,4.953990271457265,21
10,1,1.34226519478424,21
10,2,0.9484742843800689,21
10,3,0.7013927608420572,21
10,4,0.23934923815652961,21
10,5,0.20757525519078215,21
10,6,0.10444529695112127,21
10,7,0.08224608239002813,21
10,8,0.05377002879044429,21
10,9,0.032053044323463606,21
10,10,0.021755248601223333,21
10,11,0.014659271950340069,21
10,12,0.014241871638298549,21
10,13,0.011364945079725615,21
10,14,0.005556513049824627,21
10,15,0.0035980069843526033,21
10,16,0.002776030438390786,21
10,17,0.0018701032140988933,21
10,18,0.00036291104261678325,21
10,19,9.999999999978491e-07,21
10,20,9.999999999881042e-07,21
