component_index,eigenvalue_index,mean_eigenvalue,std_dev_eigenvalue,n_features
0,0,2.0199123658934366,1.9350659044343639,21
0,1,1.0283232780282077,0.813727055159803,21
0,2,0.38222551215459905,0.4034149306911533,21
0,3,0.12189176619581832,0.1258894818942761,21
0,4,0.07009802248895923,0.0678166206237584,21
0,5,0.03131065262014679,0.018524389579091558,21
0,6,0.016012429802520083,0.006833195398697613,21
0,7,0.010468114739013667,0.0052188172179002965,21
0,8,0.007351468706526363,0.004492999522526817,21
0,9,0.0039023540772162094,0.0026723808761116965,21
0,10,0.0025701519561642646,0.0015815650163184822,21
0,11,0.0016937562848299051,0.0011449727412348987,21
0,12,0.0010407977201093565,0.0007497899667672758,21
0,13,0.00047477820215762444,0.00031244980466087896,21
0,14,0.0002159018801022235,0.00021689475431339565,21
0,15,8.325291711188308e-05,7.055343344915234e-05,21
0,16,4.940296823335643e-05,4.877795603443053e-05,21
0,17,2.7134477270044295e-05,2.8394589053064284e-05,21
0,18,1.1278427096025136e-05,9.151285053142338e-06,21
0,19,5.793875682400205e-06,5.623042311539448e-06,21
0,20,9.99999999956048e-07,8.254831310266732e-17,21
1,0,3.746085666126189,3.722145881286952,21
1,1,2.111662763805589,2.08074452687254,21
1,2,0.5418547352756494,0.4589651878941791,21
1,3,0.23286531360882812,0.2589813681598097,21
1,4,0.11070063701787872,0.1066862967120511,21
1,5,0.06069416105721235,0.04986116371304,21
1,6,0.02372328639291887,0.016221367817100162,21
1,7,0.012186656469006619,0.0073715561021403106,21
1,8,0.0071853428115903825,0.0042320811081127865,21
1,9,0.004028419505363036,0.0026573528716121054,21
1,10,0.0023159924260561524,0.001431756898919091,21
1,11,0.0016285950442164836,0.001118942382355842,21
1,12,0.0008088423686930097,0.0007699911151852537,21
1,13,0.00035881922800541996,0.00036537076960549994,21
1,14,0.00011713365574095517,9.682288979047939e-05,21
1,15,5.2794501003493266e-05,5.3982589767766375e-05,21
1,16,2.56477049126322e-05,2.4675042855172255e-05,21
1,17,1.2202874733935741e-05,1.1306305952686513e-05,21
