component_index,eigenvalue_index,mean_eigenvalue,std_dev_eigenvalue,n_features
0,0,11.552572261487956,5.63055184616934,18
0,1,3.8913005724016445,2.008938077412996,18
0,2,2.036646633311956,1.0912897703455076,18
0,3,1.0446454018241424,0.48079135928095473,18
0,4,0.7028414242068772,0.40122370414219627,18
0,5,0.440830114832206,0.28172740136510205,18
0,6,0.29645803780939967,0.1605600254573619,18
0,7,0.20561987108077764,0.13475207782914103,18
0,8,0.1536667818479532,0.1087096976982206,18
0,9,0.09934310277140014,0.06599527325103857,18
0,10,0.06524823987051379,0.038134775288325574,18
0,11,0.04088195655926375,0.026348625051766196,18
0,12,0.02621735569589432,0.01941858184888041,18
0,13,0.01322070166308916,0.010040035182690947,18
0,14,0.007661119722794108,0.0059444571391313724,18
0,15,0.0043128330542446395,0.00430387630776096,18
0,16,0.0017095349754588818,0.0023703001591209106,18
0,17,0.0007552002043064128,0.0014652887301369265,18
1,0,9.707031643986078,4.734719919688256,18
1,1,3.9947679662316857,1.8461096816701703,18
1,2,1.8598553211964721,1.0324971794551114,18
1,3,0.9686974929901613,0.48664091236381257,18
1,4,0.5392410422588851,0.32552460944902123,18
1,5,0.3236454379115848,0.24085652446250583,18
1,6,0.1883549838948527,0.1631799453274189,18
1,7,0.12859882515582308,0.1177918809924374,18
1,8,0.08868608858717175,0.08470703627667198,18
1,9,0.062020727255916716,0.05504343171722265,18
1,10,0.04693689384060237,0.04328573905930282,18
1,11,0.03037710262847384,0.029240402765480244,18
1,12,0.015761831707464168,0.013651732144304651,18
1,13,0.009005327167057941,0.008314262160281374,18
1,14,0.006415540017967315,0.006106113822386889,18
1,15,0.004415474656670287,0.004477433609080834,18
1,16,0.0015689547960721427,0.001734703538371806,18
1,17,0.0006960593874339169,0.0009799178487634615,18
2,0,8.617100935068354,5.399888631242409,18
2,1,4.118013894467323,2.156937973800315,18
2,2,1.486222205373433,0.4517560360292403,18
2,3,0.7928113228192919,0.3926149896889113,18
2,4,0.4831449927618672,0.17122678236234093,18
2,5,0.3092372835096727,0.13266433661688196,18
2,6,0.17333391480339033,0.10653575262036158,18
2,7,0.12399765162308682,0.08438340406612053,18
2,8,0.08736451496600273,0.06162102191779908,18
2,9,0.06091683971135057,0.04615565074745059,18
2,10,0.03964640339058088,0.030264145044069435,18
2,11,0.023465119615974427,0.019117383710075,18
2,12,0.013471805674328582,0.01063606671334088,18
2,13,0.009182991246864608,0.007497100306471832,18
2,14,0.006605347478033864,0.006106789199716245,18
2,15,0.004729197075381076,0.004580011052602138,18
2,16,0.001714871166535737,0.0016617461135778992,18
2,17,0.0005720857820014367,0.0006961051221643838,18
