component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,2.094340778204053e-44,4.888624266548142e-44,6.452721163110221e-23,21
1,5.680127319432546e-45,1.4899883776645954e-44,3.3228612736773343e-23,21
2,8.899774952307009e-44,3.53345649147094e-43,1.0813539845135427e-22,21
