component_index,determinant,relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,4.92992002392591e-33,7.021338920694479e-17,1.1780664753393362,"[ 0.19321865,-0.1467702 ,-0.36044101, 0.02904433,-0.95192529,-0.54429152,
  0.14799436, 0.06330989, 0.05931667,-0.06807928, 0.19398708,-0.24160841,
 -0.07769202,-0.03596008,-0.00677089,-0.02570287, 0.08200763, 0.02561249]",18
1,6.994683949757459e-28,2.6447464811882176e-14,2.3447988652978062,"[-0.22578622,-0.23130118, 0.3348826 , 0.52388417, 1.08221306, 0.48147127,
 -0.36974715,-0.63346012,-0.69149785,-0.56648825, 0.07449363, 0.68123571,
 -0.34615047,-0.73242282,-0.72425662,-0.7006658 ,-0.21289126, 0.20440251]",18
2,4.330378198110816e-33,6.580560916905804e-17,2.5105315536144275,"[-0.27251777,-0.89577877,-0.91566855,-0.03668852,-0.95192529,-0.54429152,
 -0.38082611,-0.15553936,-0.22823165,-0.64142139,-0.93448318,-0.85673865,
 -0.74915992,-0.51121207,-0.18431699,-0.11569589, 0.34114049, 0.54524546]",18
3,4.900359990820686e-38,2.2136756742623083e-19,2.271880805518678,"[ 0.21567089, 0.83400852, 0.80813178, 0.36741856, 1.06298915,-0.54429152,
  0.32578926, 0.26512606, 0.32269695, 0.62968452, 0.57945465, 0.75386394,
  0.73803642, 0.36824613, 0.20948395, 0.21453536,-0.12807007,-0.27640679]",18
4,6.1393480148340346e-30,2.4777707752804806e-15,3.0662531294744273,"[ 0.76400926, 0.58630585, 0.35442534, 0.26389244, 1.06023198,-0.54429152,
  0.78787708, 0.8728126 , 0.92989618, 0.74618329, 0.68467677, 0.70029976,
  0.78855674, 0.96459109, 0.9582214 , 0.89848133, 0.08144763,-0.04185439]",18
5,1.432257448981831e-37,3.7845177354345045e-19,3.6936807572098616,"[-0.83768021,-0.96212737,-0.87361785,-0.03391057,-0.95192529,-0.54429152,
 -0.88534151,-0.99637276,-1.07148099,-1.06658297,-0.75461308,-1.08232891,
 -1.13160927,-1.0195954 ,-1.01464276,-1.01471771,-0.12921728,-0.10905938]",18
6,3.995085101388754e-34,1.9987708976740566e-17,3.654246374714809,"[ 0.34111103, 1.00613367, 1.33810599, 0.61133294, 1.08618591, 1.56295341,
  0.42539867, 0.37675905, 0.44181631, 0.83036715, 0.63750957, 1.34127849,
  1.25104039, 0.70525325, 0.47349655, 0.45265832,-0.23575475,-0.18625109]",18
7,1.1273410429461707e-29,3.35758997339784e-15,2.049318754005959,"[-0.12707102,-0.64295409,-0.67966575,-0.01610538, 1.02272391,-0.54429152,
 -0.17718031,-0.129845  ,-0.21385674,-0.46782607,-0.3934391 ,-0.34202185,
 -0.50754973,-0.46567305,-0.27590586,-0.218616  , 0.83111763, 0.48577798]",18
8,1.2717178085242406e-26,1.1277046636971227e-13,6.3967491079223775,"[-2.0936003 ,-0.91252361,-0.91336141,-3.26396554,-0.22750399,-0.54429152,
 -2.18536637,-1.72052405,-1.23073219,-1.21738589,-2.12917426,-1.17558504,
 -1.04982339,-0.81710703,-0.77378471,-0.90297488,-0.49915807,-1.70817972]",18
9,2.0822334099407954e-19,4.5631495810906695e-10,7.406008279527752,"[2.5514751 ,0.62897393,0.14356591,0.20192271,0.59130336,0.12111837,
 2.5653545 ,2.92604526,2.64354409,1.19010487,1.64684893,0.72826546,
 0.84430756,1.37049102,2.60445623,2.72990165,0.94643127,1.70575262]",18
10,2.084186683467411e-35,4.565289348406529e-18,6.273897615161935,"[ 1.11573163, 1.86202354, 1.7611579 , 0.64068489, 1.08342821, 1.56384394,
  1.31249925, 1.49662768, 1.67738949, 2.08738197, 1.19633361, 1.40569653,
  1.48844903, 2.09547885, 1.71421507, 1.66030703,-0.31854433,-0.30649641]",18
