,component_0,component_1,component_2,component_3,component_4,component_5,component_6
component_0,0.0,3.1587102665418554,3.727056993516572,3.7169025888121046,3.5193546322961224,2.6457139960458753,3.4786095976796982
component_1,3.1587102665418554,0.0,3.0388609644997557,4.933226146281244,3.743404187040421,2.7753769530782293,4.568573964830392
component_2,3.727056993516572,3.0388609644997557,0.0,3.103657047693666,2.2823512328327844,2.5354020523908836,2.8685295229145003
component_3,3.7169025888121046,4.933226146281244,3.103657047693666,0.0,2.2609887073076527,3.065931151601469,1.9182743019621777
component_4,3.5193546322961224,3.743404187040421,2.2823512328327844,2.2609887073076527,0.0,2.215362886784465,2.3819989605113197
component_5,2.6457139960458753,2.7753769530782293,2.5354020523908836,3.065931151601469,2.215362886784465,0.0,2.247085549375333
component_6,3.4786095976796982,4.568573964830392,2.8685295229145003,1.9182743019621777,2.3819989605113197,2.247085549375333,0.0
