component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,2.4314007858278376e-30,7.095630807583456e-30,7.456018582234393e-16,21
1,5.500551003347199e-31,1.2979283442292196e-30,4.299602157176276e-16,21
2,4.048296733986865e-31,1.092078676049022e-30,2.5086944943903477e-16,21
