component_index,mean_determinant,std_dev_determinant,mean_relative_volume,n_features
0,1.6275587687083042e-47,4.145855364677836e-47,1.759969902779066e-24,21
1,4.1799181758846166e-45,1.7834660075553786e-44,1.702548477613836e-23,21
2,5.9125100522389835e-46,2.056234238176786e-45,8.446735998070937e-24,21
3,4.566900265914352e-51,1.9827614882858698e-50,1.6660061622307243e-26,21
4,6.744673393189353e-49,2.9398895651248304e-48,1.8436653292100128e-25,21
5,1.1251261214365645e-51,4.903585358120548e-51,7.589709170297958e-27,21
