component_index,determinant,relative_volume,n_features
0,3.189592073968127e-33,5.64764736325501e-17,18
1,6.067980408319706e-37,7.789724262334134e-19,18
2,1.4415594852817243e-19,3.796787438455996e-10,18
3,2.7458680260857003e-27,5.24010307731222e-14,18
4,1.7974377445727658e-28,1.3406855502215148e-14,18
5,3.166320538155758e-22,1.7794157856318343e-11,18
6,4.854009827641477e-31,6.967072432264126e-16,18
7,7.821610753688086e-25,8.843987083712915e-13,18
