,component_0,component_1,component_2,component_3
component_0,0.0,0.7017726840095581,0.0917146950159335,0.1475614487429976
component_1,0.7017726840095581,0.0,0.7887313031897701,0.5544751560576774
component_2,0.0917146950159335,0.7887313031897701,0.0,0.23527459336642112
component_3,0.1475614487429976,0.5544751560576774,0.23527459336642112,0.0
