component_index,determinant,relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,1.6592674269520165e-31,4.0734106433700203e-16,1.569292568828617,"[ 0.26117072, 0.05324111, 0.02677414, 0.17397342,-0.4365786 ,-0.58835966,
 -0.37769086,-0.94211495,-0.45842238, 0.1171792 , 0.14419351, 0.06802252,
 -0.19715061,-0.15696395,-0.3610623 ,-0.22726001,-0.12947823, 0.03015709,
  0.05432801, 0.25890285, 0.45953843]",21
1,2.2691684122382348e-30,1.506375919960962e-15,1.3590943667655662,"[ 0.04364938, 0.27974572, 0.25657442,-0.09322519,-0.13162602,-0.09605322,
  0.12500198, 1.04478916,-0.45842238,-0.09014537,-0.07938289,-0.10897486,
 -0.09816749,-0.14755202, 0.40219036, 0.24403365, 0.0412517 ,-0.0491846 ,
 -0.04896904, 0.24099096,-0.07017014]",21
2,1.3090510234415272e-34,1.1441376767861144e-17,3.0464834277786284,"[-0.05245893,-0.64325807,-0.37588922,-0.45249901,-0.42998399, 0.18184926,
  0.57627244, 1.01852838, 0.22326146,-0.53888751,-0.87255295,-0.95745855,
 -0.8487182 ,-0.06832396, 0.33853559,-0.92344185,-1.07205628,-1.02039028,
 -0.9951128 ,-0.15447786, 0.12553154]",21
3,2.91820632546601e-35,5.402042507668752e-18,3.6955568018007594,"[ 0.00482505,-0.05678263,-0.08480661, 0.2409164 , 0.9054932 , 1.28455894,
  1.02064749, 1.08104245, 2.18057636, 0.29912185, 0.23141643, 0.29108426,
  0.727257  , 0.55629625, 1.14527515, 1.07492001, 0.57421782, 0.31691797,
  0.2972627 ,-0.27802157,-0.1558991 ]",21
4,3.864240444216549e-41,6.216301508305842e-21,2.3646592395953445,"[ 0.02244578, 0.10503199,-0.07495663, 0.16261095, 0.82270636, 0.88021091,
  0.5189257 , 1.05212819,-0.45842238, 0.27387475, 0.19131197, 0.25235931,
  0.64927611, 0.55165195, 0.81781228, 0.81552698, 0.38291856, 0.1542741 ,
  0.1527771 ,-0.11329547,-0.2613696 ]",21
5,4.515956987971942e-38,2.1250781133812334e-19,3.8183345198828467,"[-0.75760233,-0.05081793, 0.27011711,-0.79944058,-0.96882086,-0.89368534,
 -0.47984597,-0.94211495,-0.45842238,-0.87260198,-0.95835117,-1.03340885,
 -1.09005571,-0.78771851,-1.12573783,-1.16719225,-1.0448852 ,-0.98419727,
 -0.97655667,-0.13869141,-0.07948088]",21
6,6.06619557360182e-60,2.4629647934150053e-30,12.294804802811383,"[ -0.05264804, -1.26649913, -1.30769638, -1.47355207, -1.27729718,
  -1.4019073 ,-10.77348777, -0.94211495, -0.45842238, -1.70624409,
  -1.51877881, -1.32504304, -1.46609167, -1.16329221, -2.29434736,
  -1.69552564, -1.25463669, -1.08615425, -1.1897824 , -1.18123604,
  -0.85525005]",21
7,1.3699837059321392e-32,1.1704630305704402e-16,5.24751821925849,"[-0.64679388, 0.51178687, 0.74229568,-1.98232326,-0.84766927,-0.77755437,
 -0.379015  ,-0.5931153 ,-0.45842238,-2.11346506,-1.56502831,-1.14846453,
 -1.15480665,-2.1487619 ,-0.85893767,-0.92557052,-0.81931524,-0.8439407 ,
 -0.86272593, 0.0894075 ,-1.5591071 ]",21
8,1.9814068360536845e-38,1.4076245366054417e-19,6.076011817337289,"[ 0.64134959,-0.26768469,-0.52310793, 1.07364092, 1.71730361, 1.59065119,
  1.01476159, 1.07798163, 2.18212109, 1.26229061, 1.40378773, 1.58151624,
  1.78942009, 1.21518861, 1.18861215, 1.2759113 , 1.83662975, 1.65704973,
  1.58958587,-0.2607807 ,-0.27818684]",21
9,1.0588089049042426e-20,1.0289844045971943e-10,7.685110952243005,"[ 2.06195608,-0.63514093,-1.23831332, 2.73154752, 0.61464694, 0.10563579,
  0.0391168 , 0.54083694, 0.22893839, 2.62848104, 2.91501484, 2.5830416 ,
  1.17277043, 1.77959352, 0.6560149 , 0.77884335, 1.22879569, 2.30983629,
  2.50325886, 0.94829195, 1.73413533]",21
10,5.632679311082555e-35,7.505117794600265e-18,4.3824420529548185,"[ 0.90457064, 0.02930452,-0.38440411, 1.05886927, 1.0358677 , 0.66204301,
  0.2956184 , 1.0512717 ,-0.45842238, 1.16278662, 1.26822984, 1.39146932,
  1.23615143, 1.07708268, 0.83085667, 0.92135734, 1.31580488, 1.32605257,
  1.25842276, 0.05440835,-0.05720481]",21
