component_index,determinant,relative_volume,distance_to_global_mean,mean_vector_str,n_features
0,71.19840601725764,8.437914790827035,0.39491374560102505,"[ 0.15794553, 0.08306539,-0.3522928 ]",3
1,0.026501726925938923,0.16279351008544204,0.027524399724016123,"[-0.01100837,-0.00578943, 0.02455384]",3
