Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM,0.10902776881449966,0.010987745528353821,0.06419715907227874,0.007602333854116128
GMM_spatial,0.1091210922745906,0.013326937489723885,0.06429048253236969,0.010593042326458392
GMM_pixel,0.11120900197711812,0.012422365256694249,0.0663783922348972,0.008752201625387352
Quantile fg. ratio,0.13775380852984118,0.044808824908822445,0.09292319878762022,0.04309499343466217
Equally-w. class avg.,0.15328341523968475,0.03684271434994525,0.10845280549746383,0.03437813979279147
Imbalance-w. class avg.,0.15328341523968475,0.03684271434994525,0.10845280549746383,0.03437813979279147
Patch 10,0.1612990509656912,0.044843929975169186,0.11646844122347023,0.04269198855687961
Patch 20,0.16888310817880312,0.04488941989559604,0.1240524984365822,0.042630439930209714
Threshold 0.3,0.16907461015856892,0.043989612874889325,0.12424400041634803,0.0419084664969724
Mean,0.16922943328637727,0.04488643031830267,0.12439882354415632,0.042626186093617804
Quantile 0.6,0.16922943328637727,0.04488643031830267,0.12439882354415632,0.042626186093617804
Quantile 0.75,0.16922943328637727,0.04488643031830267,0.12439882354415632,0.042626186093617804
Quantile 0.9,0.16922943328637727,0.04488643031830267,0.12439882354415632,0.042626186093617804
Patch 50,0.16922943328637727,0.04488643031830267,0.12439882354415632,0.042626186093617804
Threshold 0.5,0.18574926034466985,0.04573844931708571,0.14091865060244887,0.0433154937144539
Threshold 0.7,0.1912190986541708,0.04470203220800746,0.14638848891194983,0.04200141402208724
