Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),GMM (Mean Risk),GMM (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Mean (Mean Risk),Mean (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev)
0.0,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.005,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.01,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.015,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.02,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.025,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.03,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.035,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.04,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.045,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
0.05,0.3735379602909088,0.06619601167657349,0.2517229895591736,0.0723665998616559,0.4077432712316513,0.07494745109210209,0.21640369248390198,0.03397618285762472,0.32141305041313173,0.07426926294823621,0.19320268487930298,0.07096021155988401,0.30021034479141234,0.051979321134234716,0.28719472283124925,0.05632277297769786,0.28947985398769377,0.07431342665480858,0.2982235667705536,0.07183039782472714,0.20061252290010453,0.05556842909156699,0.1921476378440857,0.03136046470828279,0.21174381494522096,0.05077874323133836,0.3777545232772827,0.03453627396681337,0.4369370641708374,0.08561392440839431,0.30521938610076904,0.033677963715062355
